the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.143       0.01        0.06           0.480       0.040       1.040     
2          4               16                1000      0.144       0.03        0.11           0.280       0.060       0.940     
4          8               32                1000      0.154       0.05        0.21           0.320       0.080       0.900     
8          16              64                1000      0.159       0.10        0.40           0.460       0.080       1.220     
16         32              128               1000      0.171       0.19        0.75           0.300       0.100       0.660     
32         64              256               1000      0.201       0.32        1.27           0.580       0.140       0.260     
64         128             512               1000      0.257       0.50        1.99           0.600       0.180       1.000     
128        256             1024              1000      0.384       0.67        2.67           0.480       0.320       0.880     
256        512             2048              1000      0.662       0.77        3.09           9.760       0.580       1.780     
512        1024            4096              1000      1.176       0.87        3.48           9.420       1.100       2.660     
1024       2048            8192              1000      2.206       0.93        3.71           12.000      2.120       3.460     
2048       4096            16384             1000      4.261       0.96        3.84           5.320       4.180       7.580     
4096       8192            32768             1000      8.640       0.95        3.79           247.520     8.300       16.140    
8192       16384           65536             1000      16.681      0.98        3.93           71.280      16.520      32.680    
16384      32768           131072            1000      33.235      0.99        3.94           90.480      32.900      68.700    
32768      65536           262144            1000      66.383      0.99        3.95           145.080     65.640      126.340   
65536      131072          524288            1000      212.723     0.62        2.46           371.400     203.940     183.180   
131072     262144          1048576           1000      384.267     0.68        2.73           439.900     375.000     358.440   
262144     524288          2097152           1000      736.955     0.71        2.85           763.500     726.980     745.040   
524288     1048576         4194304           1000      1334.387    0.79        3.14           1392.600    1317.180    1317.360  
1048576    2097152         8388608           1000      2837.942    0.74        2.96           2889.560    2811.960    2877.840  

