the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.182       0.01        0.04           0.420       0.080       0.680     
2          2               16                1000      0.196       0.01        0.08           0.460       0.140       0.400     
4          4               32                1000      0.229       0.02        0.14           0.700       0.160       0.560     
8          8               64                1000      0.314       0.03        0.20           0.860       0.240       0.940     
16         16              128               1000      0.495       0.03        0.26           0.920       0.420       0.620     
32         32              256               1000      0.830       0.04        0.31           1.000       0.760       1.120     
64         64              512               1000      1.522       0.04        0.34           1.900       1.440       1.700     
128        128             1024              1000      3.119       0.04        0.33           210.240     2.840       3.420     
256        256             2048              1000      5.725       0.04        0.36           41.500      5.580       6.160     
512        512             4096              1000      11.279      0.05        0.36           42.660      11.160      12.220    
1024       1024            8192              1000      22.423      0.05        0.37           131.480     22.200      22.740    
2048       2048            16384             1000      44.542      0.05        0.37           144.380     44.260      44.740    
4096       4096            32768             1000      88.723      0.05        0.37           117.440     88.320      89.000    
8192       8192            65536             1000      177.189     0.05        0.37           224.100     176.240     176.840   
16384      16384           131072            1000      354.140     0.05        0.37           398.200     352.380     352.960   
32768      32768           262144            1000      707.406     0.05        0.37           1249.240    704.680     707.580   
65536      65536           524288            1000      1416.647    0.05        0.37           1608.180    1409.600    1507.440  
131072     131072          1048576           1000      2845.138    0.05        0.37           2973.460    2820.840    3027.300  
262144     262144          2097152           1000      5664.797    0.05        0.37           5861.220    5650.680    6129.340  
524288     524288          4194304           1000      11559.742   0.05        0.36           12669.200   11528.920   11586.420 
1048576    1048576         8388608           1000      23118.080   0.05        0.36           25127.780   23074.760   23111.840 

