the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.118       0.01        0.10           0.260       0.040       0.080     
2          2               24                1000      0.117       0.02        0.21           0.260       0.060       0.240     
4          4               48                1000      0.142       0.03        0.34           0.280       0.100       0.160     
8          8               96                1000      0.141       0.06        0.68           0.260       0.080       0.400     
16         16              192               1000      0.141       0.11        1.36           0.520       0.060       0.220     
32         32              384               1000      0.164       0.20        2.34           0.380       0.120       0.320     
64         64              768               1000      0.149       0.43        5.14           0.280       0.100       0.260     
128        128             1536              1000      0.173       0.74        8.87           7.100       0.140       0.260     
256        256             3072              1000      0.219       1.17        14.00          0.420       0.180       0.860     
512        512             6144              1000      0.302       1.70        20.35          0.560       0.260       0.660     
1024       1024            12288             1000      0.520       1.97        23.64          0.880       0.480       1.340     
2048       2048            24576             1000      1.328       1.54        18.51          2.040       1.260       3.060     
4096       4096            49152             1000      2.636       1.55        18.64          3.520       2.560       5.480     
8192       8192            98304             1000      5.237       1.56        18.77          14.860      5.100       13.660    
16384      16384           196608            1000      10.648      1.54        18.46          17.760      10.180      26.640    
32768      32768           393216            1000      20.447      1.60        19.23          50.400      19.560      64.480    
65536      65536           786432            1000      79.311      0.83        9.92           121.440     72.320      109.200   
131072     131072          1572864           1000      214.282     0.61        7.34           284.160     205.840     206.580   
262144     262144          3145728           1000      497.617     0.53        6.32           538.660     485.460     467.740   
524288     524288          6291456           1000      916.184     0.57        6.87           993.140     902.160     914.860   
1048576    1048576         12582912          1000      2152.660    0.49        5.85           2267.020    2086.120    2165.580  

