the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.088       0.01        0.14           0.240       0.040       0.340     
2          2               24                1000      0.089       0.02        0.27           0.260       0.040       0.100     
4          4               48                1000      0.098       0.04        0.49           0.360       0.040       0.380     
8          8               96                1000      0.112       0.07        0.86           0.280       0.060       0.720     
16         16              192               1000      0.140       0.11        1.37           0.280       0.080       0.420     
32         32              384               1000      0.165       0.19        2.32           0.460       0.100       0.520     
64         64              768               1000      0.214       0.30        3.59           0.380       0.160       0.560     
128        128             1536              1000      0.346       0.37        4.44           0.500       0.300       0.780     
256        256             3072              1000      0.515       0.50        5.97           0.660       0.460       1.060     
512        512             6144              1000      0.850       0.60        7.22           1.040       0.800       1.280     
1024       1024            12288             1000      1.609       0.64        7.63           2.220       1.540       3.060     
2048       2048            24576             1000      2.999       0.68        8.20           3.760       2.940       7.720     
4096       4096            49152             1000      6.634       0.62        7.41           13.920      6.200       18.920    
8192       8192            98304             1000      12.850      0.64        7.65           19.100      12.440      38.280    
16384      16384           196608            1000      25.863      0.63        7.60           58.920      24.900      75.500    
32768      32768           393216            1000      91.478      0.36        4.30           182.200     81.340      152.160   
65536      65536           786432            1000      343.142     0.19        2.29           504.620     330.560     352.660   
131072     131072          1572864           1000      739.028     0.18        2.13           898.040     724.200     791.960   
262144     262144          3145728           1000      1469.827    0.18        2.14           1509.500    1450.040    1700.220  
524288     524288          6291456           1000      3574.255    0.15        1.76           3644.360    3523.900    3526.640  
1048576    1048576         12582912          1000      7430.354    0.14        1.69           7534.180    7322.620    7470.480  

