the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.088       0.02        0.09           0.114       0.079       0.113     
2          4               16                1000      0.089       0.04        0.18           0.115       0.081       0.146     
4          8               32                1000      0.089       0.09        0.36           0.093       0.081       0.103     
8          16              64                1000      0.090       0.18        0.71           0.117       0.082       0.314     
16         32              128               1000      0.084       0.38        1.52           0.088       0.082       0.805     
32         64              256               1000      0.086       0.75        2.99           0.390       0.085       0.119     
64         128             512               1000      0.088       1.45        5.80           0.334       0.084       0.431     
128        256             1024              1000      0.094       2.72        10.88          0.139       0.092       0.171     
256        512             2048              1000      0.121       4.23        16.94          0.355       0.114       0.180     
512        1024            4096              1000      0.167       6.15        24.59          0.399       0.153       0.263     
1024       2048            8192              1000      0.235       8.71        34.86          0.551       0.224       0.254     
2048       4096            16384             1000      0.403       10.17       40.67          0.638       0.385       0.624     
4096       8192            32768             1000      0.762       10.75       43.02          0.828       0.748       0.819     
8192       16384           65536             1000      1.524       10.75       43.00          1.739       1.451       1.798     
16384      32768           131072            1000      2.906       11.28       45.10          7.181       2.750       4.584     
32768      65536           262144            1000      6.211       10.55       42.20          11.966      6.014       8.734     
65536      131072          524288            1000      13.954      9.39        37.57          15.531      13.635      19.690    
131072     262144          1048576           1000      30.097      8.71        34.84          36.383      29.658      38.078    
262144     524288          2097152           1000      60.021      8.74        34.94          66.540      59.262      77.696    
524288     1048576         4194304           1000      128.768     8.14        32.57          149.820     122.498     168.695   
1048576    2097152         8388608           1000      362.412     5.79        23.15          389.947     355.292     375.455   

