the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.220       0.01        0.04           0.299       0.216       0.478     
2          4               16                1000      0.228       0.02        0.07           0.306       0.217       0.400     
4          8               32                1000      0.228       0.04        0.14           0.265       0.219       0.626     
8          16              64                1000      0.228       0.07        0.28           0.444       0.223       0.730     
16         32              128               1000      0.239       0.13        0.54           0.511       0.232       0.349     
32         64              256               1000      0.253       0.25        1.01           0.321       0.246       0.566     
64         128             512               1000      0.299       0.43        1.71           0.550       0.279       0.361     
128        256             1024              1000      0.354       0.72        2.89           0.516       0.337       0.437     
256        512             2048              1000      0.472       1.09        4.34           0.772       0.448       1.009     
512        1024            4096              1000      0.717       1.43        5.71           0.940       0.689       1.075     
1024       2048            8192              1000      1.176       1.74        6.96           1.451       1.155       1.748     
2048       4096            16384             1000      2.112       1.94        7.76           2.291       2.088       2.258     
4096       8192            32768             1000      4.075       2.01        8.04           4.384       3.988       4.974     
8192       16384           65536             1000      7.809       2.10        8.39           13.875      7.704       8.112     
16384      32768           131072            1000      16.617      1.97        7.89           25.057      15.806      20.205    
32768      65536           262144            1000      35.341      1.85        7.42           45.072      32.551      34.779    
65536      131072          524288            1000      64.189      2.04        8.17           72.174      62.638      67.872    
131072     262144          1048576           1000      124.214     2.11        8.44           133.889     123.158     124.665   
262144     524288          2097152           1000      243.709     2.15        8.61           254.553     242.577     243.674   
524288     1048576         4194304           1000      483.491     2.17        8.68           495.019     481.611     482.922   
1048576    2097152         8388608           1000      959.858     2.18        8.74           971.912     958.089     960.424   

