the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.166       0.01        0.07           0.563       0.160       0.787     
2          2               24                1000      0.159       0.01        0.15           0.399       0.151       0.288     
4          4               48                1000      0.153       0.03        0.31           0.271       0.145       0.452     
8          8               96                1000      0.154       0.05        0.63           0.235       0.144       0.512     
16         16              192               1000      0.153       0.10        1.25           0.257       0.145       0.347     
32         32              384               1000      0.161       0.20        2.38           0.279       0.150       0.579     
64         64              768               1000      0.163       0.39        4.72           0.214       0.157       0.479     
128        128             1536              1000      0.173       0.74        8.90           0.257       0.167       0.737     
256        256             3072              1000      0.196       1.31        15.68          0.365       0.188       0.591     
512        512             6144              1000      0.269       1.91        22.87          0.519       0.258       0.868     
1024       1024            12288             1000      0.398       2.57        30.89          0.544       0.371       1.067     
2048       2048            24576             1000      0.613       3.34        40.07          1.189       0.576       1.563     
4096       4096            49152             1000      1.187       3.45        41.40          1.965       1.040       3.261     
8192       8192            98304             1000      2.760       2.97        35.62          10.264      2.297       6.588     
16384      16384           196608            1000      6.798       2.41        28.92          11.649      6.028       13.787    
32768      32768           393216            1000      22.820      1.44        17.23          29.984      20.170      30.508    
65536      65536           786432            1000      58.481      1.12        13.45          67.904      55.609      65.016    
131072     131072          1572864           1000      127.975     1.02        12.29          137.021     124.526     127.010   
262144     262144          3145728           1000      256.966     1.02        12.24          269.405     253.206     256.822   
524288     524288          6291456           1000      543.078     0.97        11.58          583.708     532.605     573.161   
1048576    1048576         12582912          1000      838.813     1.25        15.00          865.935     830.160     850.646   

