the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.481       0.00        0.02           0.840       0.440       0.600     
2          2               24                1000      0.490       0.00        0.05           0.640       0.460       0.920     
4          4               48                1000      0.499       0.01        0.10           1.080       0.440       1.520     
8          8               96                1000      0.508       0.02        0.19           0.860       0.460       1.060     
16         16              192               1000      0.537       0.03        0.36           0.740       0.480       0.920     
32         32              384               1000      0.605       0.05        0.63           0.860       0.560       1.280     
64         64              768               1000      0.756       0.08        1.02           1.100       0.740       1.520     
128        128             1536              1000      1.005       0.13        1.53           1.200       0.960       1.580     
256        256             3072              1000      1.510       0.17        2.03           1.780       1.480       1.880     
512        512             6144              1000      2.566       0.20        2.39           3.060       2.500       3.140     
1024       1024            12288             1000      4.630       0.22        2.65           13.020      4.580       5.280     
2048       2048            24576             1000      8.769       0.23        2.80           17.120      8.700       9.700     
4096       4096            49152             1000      16.988      0.24        2.89           25.060      16.900      19.100    
8192       8192            98304             1000      33.530      0.24        2.93           42.140      33.380      37.040    
16384      16384           196608            1000      66.379      0.25        2.96           82.460      66.140      75.540    
32768      32768           393216            1000      132.114     0.25        2.98           149.020     131.620     158.060   
65536      65536           786432            1000      295.808     0.22        2.66           329.860     289.140     305.560   
131072     131072          1572864           1000      589.123     0.22        2.67           611.840     578.300     579.960   
262144     262144          3145728           1000      1164.253    0.23        2.70           1372.240    1152.720    1143.620  
524288     524288          6291456           1000      2274.305    0.23        2.77           2373.740    2256.820    2268.220  
1048576    1048576         12582912          1000      4647.032    0.23        2.71           5477.880    4408.840    4625.580  

