the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.095       0.074       0.237     
2          2               24                1000      0.074       0.03        0.32           0.075       0.074       0.258     
4          4               48                1000      0.077       0.05        0.63           0.307       0.075       0.141     
8          8               96                1000      0.079       0.10        1.22           0.127       0.076       0.226     
16         16              192               1000      0.083       0.19        2.31           0.115       0.078       0.130     
32         32              384               1000      0.086       0.37        4.46           0.090       0.080       0.227     
64         64              768               1000      0.091       0.70        8.44           0.309       0.086       0.135     
128        128             1536              1000      0.101       1.26        15.16          0.146       0.096       0.160     
256        256             3072              1000      0.124       2.07        24.87          0.167       0.121       0.244     
512        512             6144              1000      0.178       2.88        34.55          0.205       0.172       0.315     
1024       1024            12288             1000      0.283       3.62        43.43          0.687       0.274       0.360     
2048       2048            24576             1000      0.504       4.06        48.73          8.781       0.479       0.664     
4096       4096            49152             1000      0.940       4.36        52.31          1.728       0.917       1.641     
8192       8192            98304             1000      1.850       4.43        53.15          2.522       1.793       2.591     
16384      16384           196608            1000      4.071       4.02        48.30          6.149       3.787       5.544     
32768      32768           393216            1000      8.133       4.03        48.35          307.373     7.583       10.826    
65536      65536           786432            1000      16.956      3.87        46.38          18.925      16.612      24.491    
131072     131072          1572864           1000      36.094      3.63        43.58          180.146     35.491      51.703    
262144     262144          3145728           1000      76.851      3.41        40.93          108.635     73.565      102.245   
524288     524288          6291456           1000      219.003     2.39        28.73          234.153     207.495     246.096   
1048576    1048576         12582912          1000      492.727     2.13        25.54          552.854     480.989     495.842   

