the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.216       0.01        0.04           0.440       0.209       0.535     
2          4               16                1000      0.218       0.02        0.07           0.256       0.207       0.474     
4          8               32                1000      0.220       0.04        0.15           0.441       0.209       0.400     
8          16              64                1000      0.223       0.07        0.29           0.488       0.213       0.351     
16         32              128               1000      0.230       0.14        0.56           0.270       0.220       0.508     
32         64              256               1000      0.246       0.26        1.04           0.455       0.237       0.420     
64         128             512               1000      0.273       0.47        1.88           0.522       0.263       0.438     
128        256             1024              1000      0.331       0.77        3.09           0.409       0.321       0.496     
256        512             2048              1000      0.448       1.14        4.58           0.679       0.438       0.611     
512        1024            4096              1000      0.691       1.48        5.93           0.789       0.680       0.870     
1024       2048            8192              1000      1.156       1.77        7.08           1.567       1.145       1.434     
2048       4096            16384             1000      2.088       1.96        7.85           2.348       2.076       2.671     
4096       8192            32768             1000      4.104       2.00        7.98           4.628       3.942       4.277     
8192       16384           65536             1000      7.812       2.10        8.39           15.842      7.667       8.043     
16384      32768           131072            1000      15.714      2.09        8.34           23.248      15.373      17.318    
32768      65536           262144            1000      30.114      2.18        8.70           37.591      30.013      30.392    
65536      131072          524288            1000      59.995      2.18        8.74           66.932      59.873      60.218    
131072     262144          1048576           1000      119.599     2.19        8.77           126.804     119.438     120.233   
262144     524288          2097152           1000      238.887     2.19        8.78           247.538     238.596     239.218   
524288     1048576         4194304           1000      477.619     2.20        8.78           486.552     477.009     479.595   
1048576    2097152         8388608           1000      955.576     2.19        8.78           972.537     954.220     954.761   

