the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.401       0.00        0.02           7.940       0.340       0.680     
2          2               16                1000      0.387       0.01        0.04           0.660       0.340       0.660     
4          4               32                1000      0.390       0.01        0.08           0.700       0.360       0.740     
8          8               64                1000      0.406       0.02        0.16           9.500       0.360       0.800     
16         16              128               1000      0.409       0.04        0.31           0.580       0.360       0.940     
32         32              256               1000      0.449       0.07        0.57           8.680       0.400       0.740     
64         64              512               1000      0.491       0.13        1.04           1.000       0.460       0.700     
128        128             1024              1000      0.586       0.22        1.75           0.800       0.560       1.000     
256        256             2048              1000      0.784       0.33        2.61           7.520       0.740       1.180     
512        512             4096              1000      1.189       0.43        3.44           1.760       1.120       1.520     
1024       1024            8192              1000      1.956       0.52        4.19           8.160       1.900       2.320     
2048       2048            16384             1000      3.503       0.58        4.68           5.480       3.460       4.780     
4096       4096            32768             1000      6.632       0.62        4.94           20.100      6.520       8.200     
8192       8192            65536             1000      12.805      0.64        5.12           20.940      12.680      15.420    
16384      16384           131072            1000      25.680      0.64        5.10           42.060      25.040      40.760    
32768      32768           262144            1000      50.847      0.64        5.16           85.060      49.680      84.440    
65536      65536           524288            1000      108.871     0.60        4.82           148.120     105.620     170.960   
131072     131072          1048576           1000      240.730     0.54        4.36           659.460     229.740     243.800   
262144     262144          2097152           1000      467.172     0.56        4.49           1340.020    456.400     451.120   
524288     524288          4194304           1000      876.020     0.60        4.79           1135.900    864.980     880.740   
1048576    1048576         8388608           1000      1650.506    0.64        5.08           1970.500    1638.280    1661.160  

