the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.223       0.01        0.04           0.314       0.215       0.881     
2          4               16                1000      0.231       0.02        0.07           0.486       0.216       0.312     
4          8               32                1000      0.226       0.04        0.14           0.468       0.218       0.321     
8          16              64                1000      0.229       0.07        0.28           0.467       0.222       0.546     
16         32              128               1000      0.241       0.13        0.53           0.544       0.229       0.391     
32         64              256               1000      0.250       0.26        1.02           0.587       0.244       0.346     
64         128             512               1000      0.306       0.42        1.67           0.587       0.280       0.365     
128        256             1024              1000      0.353       0.72        2.90           0.633       0.331       0.768     
256        512             2048              1000      0.469       1.09        4.37           0.656       0.448       0.585     
512        1024            4096              1000      0.718       1.43        5.71           0.786       0.689       0.947     
1024       2048            8192              1000      1.184       1.73        6.92           1.422       1.179       1.281     
2048       4096            16384             1000      2.209       1.85        7.42           2.561       2.085       2.384     
4096       8192            32768             1000      4.055       2.02        8.08           4.478       3.976       5.152     
8192       16384           65536             1000      7.793       2.10        8.41           8.528       7.686       8.449     
16384      32768           131072            1000      16.642      1.97        7.88           19.509      15.642      19.889    
32768      65536           262144            1000      35.085      1.87        7.47           43.190      32.742      34.206    
65536      131072          524288            1000      64.241      2.04        8.16           75.025      62.530      68.371    
131072     262144          1048576           1000      124.141     2.11        8.45           133.985     123.023     124.474   
262144     524288          2097152           1000      243.825     2.15        8.60           254.542     242.482     244.648   
524288     1048576         4194304           1000      483.413     2.17        8.68           494.956     481.486     483.555   
1048576    2097152         8388608           1000      960.164     2.18        8.74           972.573     958.075     960.343   

