the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.136       0.01        0.06           0.320       0.100       0.140     
2          2               16                1000      0.136       0.01        0.12           0.300       0.100       0.320     
4          4               32                1000      0.156       0.03        0.21           0.360       0.120       0.360     
8          8               64                1000      0.189       0.04        0.34           0.360       0.140       0.400     
16         16              128               1000      0.268       0.06        0.48           0.700       0.220       0.320     
32         32              256               1000      0.402       0.08        0.64           0.540       0.360       0.660     
64         64              512               1000      0.684       0.09        0.75           0.740       0.500       0.740     
128        128             1024              1000      1.233       0.10        0.83           1.560       0.900       1.300     
256        256             2048              1000      2.394       0.11        0.86           69.460      2.020       2.300     
512        512             4096              1000      4.459       0.11        0.92           5.000       4.040       4.620     
1024       1024            8192              1000      8.826       0.12        0.93           9.460       7.620       9.160     
2048       2048            16384             1000      17.642      0.12        0.93           104.320     14.840      17.740    
4096       4096            32768             1000      34.843      0.12        0.94           44.860      28.700      33.320    
8192       8192            65536             1000      69.987      0.12        0.94           106.780     55.920      72.160    
16384      16384           131072            1000      140.314     0.12        0.93           170.880     127.120     142.540   
32768      32768           262144            1000      277.929     0.12        0.94           326.360     201.160     282.640   
65536      65536           524288            1000      562.486     0.12        0.93           775.380     522.840     574.700   
131072     131072          1048576           1000      1199.754    0.11        0.87           1317.920    1048.300    1069.100  
262144     262144          2097152           1000      2190.035    0.12        0.96           2265.080    2065.600    2211.980  
524288     524288          4194304           1000      4380.186    0.12        0.96           4488.620    4244.700    4368.640  
1048576    1048576         8388608           1000      8776.712    0.12        0.96           8920.060    8541.740    8765.760  

