the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.108       0.01        0.07           0.280       0.060       0.080     
2          2               16                1000      0.110       0.02        0.15           0.280       0.040       0.440     
4          4               32                1000      0.115       0.03        0.28           0.320       0.060       0.260     
8          8               64                1000      0.080       0.10        0.80           0.340       0.040       0.440     
16         16              128               1000      0.072       0.22        1.77           0.300       0.060       0.620     
32         32              256               1000      0.082       0.39        3.14           0.400       0.060       0.160     
64         64              512               1000      0.085       0.75        6.00           0.240       0.080       0.140     
128        128             1024              1000      0.124       1.03        8.25           0.300       0.100       0.300     
256        256             2048              1000      0.192       1.33        10.65          0.300       0.180       0.240     
512        512             4096              1000      0.310       1.65        13.20          0.480       0.280       0.940     
1024       1024            8192              1000      0.576       1.78        14.22          0.900       0.560       0.900     
2048       2048            16384             1000      1.132       1.81        14.47          9.000       1.080       2.180     
4096       4096            32768             1000      2.327       1.76        14.08          3.120       2.280       4.700     
8192       8192            65536             1000      4.692       1.75        13.97          11.480      4.540       11.460    
16384      16384           131072            1000      8.152       2.01        16.08          14.240      8.060       19.120    
32768      32768           262144            1000      17.223      1.90        15.22          34.300      13.600      40.580    
65536      65536           524288            1000      33.164      1.98        15.81          89.560      27.220      84.280    
131072     131072          1048576           1000      150.221     0.87        6.98           175.760     105.620     123.460   
262144     262144          2097152           1000      336.121     0.78        6.24           4808.380    268.500     251.760   
524288     524288          4194304           1000      686.562     0.76        6.11           10363.020   528.700     536.460   
1048576    1048576         8388608           1000      1299.116    0.81        6.46           19671.340   1038.360    1073.840  

