the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.052       0.02        0.23           0.080       0.040       0.080     
2          2               24                1000      0.057       0.04        0.42           0.080       0.040       0.640     
4          4               48                1000      0.056       0.07        0.86           0.080       0.040       0.080     
8          8               96                1000      0.060       0.13        1.60           0.060       0.060       0.080     
16         16              192               1000      0.060       0.27        3.20           0.080       0.060       0.100     
32         32              384               1000      0.079       0.41        4.89           0.100       0.060       0.140     
64         64              768               1000      0.105       0.61        7.32           0.120       0.100       0.200     
128        128             1536              1000      0.158       0.81        9.73           0.180       0.140       0.420     
256        256             3072              1000      0.264       0.97        11.63          0.300       0.260       0.360     
512        512             6144              1000      0.475       1.08        12.93          0.520       0.460       0.660     
1024       1024            12288             1000      0.920       1.11        13.35          13.280      0.880       1.400     
2048       2048            24576             1000      1.890       1.08        13.00          2.020       1.820       3.340     
4096       4096            49152             1000      3.806       1.08        12.91          22.000      3.640       6.500     
8192       8192            98304             1000      7.012       1.17        14.02          20.100      6.860       16.180    
16384      16384           196608            1000      14.367      1.14        13.68          28.060      13.720      32.000    
32768      32768           393216            1000      27.415      1.20        14.34          43.300      26.900      67.820    
65536      65536           786432            1000      55.660      1.18        14.13          122.140     53.740      155.280   
131072     131072          1572864           1000      111.223     1.18        14.14          288.780     107.100     282.440   
262144     262144          3145728           1000      394.816     0.66        7.97           723.480     373.160     592.680   
524288     524288          6291456           1000      1512.954    0.35        4.16           2461.920    1088.020    1223.360  
1048576    1048576         12582912          1000      1920.023    0.55        6.55           2112.520    1905.980    2406.540  

