the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.077       0.01        0.16           0.287       0.076       0.260     
2          2               24                1000      0.078       0.03        0.31           0.295       0.077       0.111     
4          4               48                1000      0.080       0.05        0.60           0.305       0.078       0.143     
8          8               96                1000      0.076       0.10        1.26           0.308       0.075       0.140     
16         16              192               1000      0.078       0.20        2.46           0.297       0.077       0.123     
32         32              384               1000      0.079       0.41        4.87           0.303       0.078       0.142     
64         64              768               1000      0.084       0.76        9.14           0.313       0.083       0.108     
128        128             1536              1000      0.104       1.23        14.81          5.425       0.093       0.214     
256        256             3072              1000      0.124       2.06        24.77          0.343       0.115       0.174     
512        512             6144              1000      0.174       2.94        35.25          0.401       0.162       0.507     
1024       1024            12288             1000      0.269       3.80        45.65          0.578       0.249       0.319     
2048       2048            24576             1000      0.475       4.31        51.76          0.709       0.453       0.551     
4096       4096            49152             1000      0.974       4.21        50.47          5.020       0.938       1.397     
8192       8192            98304             1000      1.758       4.66        55.92          2.008       1.715       2.201     
16384      16384           196608            1000      4.071       4.02        48.30          4.448       3.668       4.493     
32768      32768           393216            1000      8.941       3.67        43.98          15.233      8.064       9.864     
65536      65536           786432            1000      18.773      3.49        41.89          20.032      17.613      22.358    
131072     131072          1572864           1000      38.218      3.43        41.16          43.601      36.348      46.677    
262144     262144          3145728           1000      89.918      2.92        34.98          105.117     84.222      109.523   
524288     524288          6291456           1000      238.796     2.20        26.35          246.571     210.624     242.184   
1048576    1048576         12582912          1000      532.952     1.97        23.61          546.481     512.225     518.398   

