the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.516       0.00        0.02           0.900       0.460       1.480     
2          2               24                1000      0.528       0.00        0.05           0.780       0.480       1.800     
4          4               48                1000      0.519       0.01        0.09           6.080       0.460       1.720     
8          8               96                1000      0.495       0.02        0.19           0.820       0.440       1.740     
16         16              192               1000      0.497       0.03        0.39           0.880       0.460       1.060     
32         32              384               1000      0.516       0.06        0.74           0.760       0.480       2.000     
64         64              768               1000      0.526       0.12        1.46           0.840       0.480       1.560     
128        128             1536              1000      0.572       0.22        2.69           0.940       0.520       1.960     
256        256             3072              1000      0.647       0.40        4.75           1.440       0.600       2.040     
512        512             6144              1000      0.843       0.61        7.29           1.280       0.800       2.460     
1024       1024            12288             1000      1.157       0.89        10.62          1.820       1.120       3.060     
2048       2048            24576             1000      2.421       0.85        10.15          10.360      1.740       4.180     
4096       4096            49152             1000      2.960       1.38        16.60          10.660      2.840       7.740     
8192       8192            98304             1000      5.480       1.50        17.94          13.120      5.280       15.980    
16384      16384           196608            1000      11.875      1.38        16.56          21.800      11.580      33.460    
32768      32768           393216            1000      20.607      1.59        19.08          79.240      19.360      70.120    
65536      65536           786432            1000      105.691     0.62        7.44           153.220     97.120      126.500   
131072     131072          1572864           1000      229.716     0.57        6.85           255.020     221.740     226.660   
262144     262144          3145728           1000      501.514     0.52        6.27           571.540     490.280     469.320   
524288     524288          6291456           1000      879.709     0.60        7.15           943.040     866.360     888.580   
1048576    1048576         12582912          1000      2177.901    0.48        5.78           2331.620    2125.920    2143.980  

