the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.161       0.01        0.07           0.320       0.080       0.180     
2          2               24                1000      0.174       0.01        0.14           0.540       0.120       1.020     
4          4               48                1000      0.167       0.02        0.29           0.340       0.080       0.960     
8          8               96                1000      0.172       0.05        0.56           0.520       0.100       1.120     
16         16              192               1000      0.172       0.09        1.12           0.460       0.080       0.520     
32         32              384               1000      0.187       0.17        2.05           0.260       0.120       0.760     
64         64              768               1000      0.199       0.32        3.86           0.340       0.140       0.820     
128        128             1536              1000      0.243       0.53        6.33           0.400       0.200       0.600     
256        256             3072              1000      0.570       0.45        5.39           222.060     0.300       1.040     
512        512             6144              1000      0.618       0.83        9.94           1.020       0.580       1.340     
1024       1024            12288             1000      1.075       0.95        11.43          1.520       1.000       3.580     
2048       2048            24576             1000      2.355       0.87        10.43          163.140     2.120       8.020     
4096       4096            49152             1000      3.919       1.05        12.54          12.340      3.800       12.240    
8192       8192            98304             1000      7.825       1.05        12.56          90.900      7.420       25.280    
16384      16384           196608            1000      75.515      0.22        2.60           6409.940    36.960      9046.440  
32768      32768           393216            1000      102.021     0.32        3.85           11959.840   53.960      259.420   
65536      65536           786432            1000      154.272     0.42        5.10           8293.660    95.860      285.680   
131072     131072          1572864           1000      458.472     0.29        3.43           15323.820   256.560     423.600   
262144     262144          3145728           1000      635.101     0.41        4.95           16049.180   521.300     2807.660  
524288     524288          6291456           1000      1302.193    0.40        4.83           19893.760   1068.720    1863.280  
1048576    1048576         12582912          1000      3089.851    0.34        4.07           22636.000   2349.100    2306.860  

