the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.300       0.073       0.139     
2          2               24                1000      0.076       0.03        0.31           0.206       0.075       0.278     
4          4               48                1000      0.076       0.05        0.63           0.270       0.075       0.278     
8          8               96                1000      0.078       0.10        1.22           0.301       0.076       0.141     
16         16              192               1000      0.080       0.20        2.39           0.299       0.079       0.402     
32         32              384               1000      0.084       0.38        4.60           0.300       0.082       0.320     
64         64              768               1000      0.089       0.72        8.67           0.285       0.086       0.119     
128        128             1536              1000      0.101       1.27        15.25          0.295       0.098       0.293     
256        256             3072              1000      0.130       1.97        23.63          0.494       0.123       0.509     
512        512             6144              1000      0.177       2.89        34.63          0.467       0.174       0.401     
1024       1024            12288             1000      0.284       3.61        43.33          0.634       0.276       0.328     
2048       2048            24576             1000      0.537       3.82        45.78          0.913       0.505       0.650     
4096       4096            49152             1000      0.942       4.35        52.19          1.679       0.917       1.493     
8192       8192            98304             1000      1.827       4.48        53.81          7.350       1.771       2.847     
16384      16384           196608            1000      4.076       4.02        48.23          9.771       3.847       5.148     
32768      32768           393216            1000      8.325       3.94        47.23          181.736     7.784       10.401    
65536      65536           786432            1000      16.876      3.88        46.60          25.678      16.334      20.946    
131072     131072          1572864           1000      36.936      3.55        42.58          229.281     35.608      47.075    
262144     262144          3145728           1000      78.646      3.33        40.00          141.434     75.369      107.421   
524288     524288          6291456           1000      232.106     2.26        27.11          347.152     223.538     247.832   
1048576    1048576         12582912          1000      539.963     1.94        23.30          722.657     499.012     547.719   

