the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.097       0.01        0.12           0.114       0.083       0.335     
2          2               24                1000      0.096       0.02        0.25           0.126       0.083       0.449     
4          4               48                1000      0.097       0.04        0.49           0.151       0.085       0.474     
8          8               96                1000      0.095       0.08        1.01           0.125       0.083       0.504     
16         16              192               1000      0.097       0.17        1.99           0.124       0.085       0.536     
32         32              384               1000      0.102       0.31        3.76           0.197       0.091       0.396     
64         64              768               1000      0.112       0.57        6.83           0.150       0.099       0.385     
128        128             1536              1000      0.132       0.97        11.60          0.189       0.126       0.359     
256        256             3072              1000      0.177       1.45        17.36          0.470       0.166       0.419     
512        512             6144              1000      0.276       1.86        22.26          0.313       0.261       0.773     
1024       1024            12288             1000      0.436       2.35        28.20          0.489       0.426       0.801     
2048       2048            24576             1000      0.850       2.41        28.90          1.040       0.822       1.326     
4096       4096            49152             1000      1.720       2.38        28.57          1.777       1.688       2.600     
8192       8192            98304             1000      4.212       1.95        23.34          848.188     3.299       4.650     
16384      16384           196608            1000      15.655      1.05        12.56          32.190      15.227      112.521   
32768      32768           393216            1000      24.888      1.32        15.80          385.092     23.763      31.164    
65536      65536           786432            1000      48.654      1.35        16.16          611.671     47.265      53.153    
131072     131072          1572864           1000      85.750      1.53        18.34          188.892     84.531      95.658    
262144     262144          3145728           1000      164.157     1.60        19.16          388.380     160.327     168.453   
524288     524288          6291456           1000      320.228     1.64        19.65          444.559     314.475     412.006   
1048576    1048576         12582912          1000      823.725     1.27        15.28          27650.979   668.073     816.544   

