the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.072       0.01        0.06           0.085       0.071       0.107     
2          2               8                 1000      0.073       0.03        0.11           0.084       0.073       0.090     
4          4               16                1000      0.075       0.05        0.21           0.103       0.074       0.124     
8          8               32                1000      0.078       0.10        0.41           0.126       0.077       0.131     
16         16              64                1000      0.083       0.19        0.77           0.120       0.082       0.376     
32         32              128               1000      0.099       0.32        1.29           0.124       0.097       0.130     
64         64              256               1000      0.128       0.50        1.99           0.135       0.125       0.148     
128        128             512               1000      0.193       0.66        2.66           0.194       0.184       0.200     
256        256             1024              1000      0.314       0.82        3.26           0.338       0.300       0.313     
512        512             2048              1000      0.563       0.91        3.64           0.586       0.548       0.551     
1024       1024            4096              1000      1.044       0.98        3.92           1.119       0.999       1.014     
2048       2048            8192              1000      2.023       1.01        4.05           2.166       1.933       1.944     
4096       4096            16384             1000      3.955       1.04        4.14           9.051       3.793       3.905     
8192       8192            32768             1000      7.835       1.05        4.18           11.576      7.528       7.829     
16384      16384           65536             1000      16.311      1.00        4.02           20.326      14.979      16.238    
32768      32768           131072            1000      31.816      1.03        4.12           36.279      29.948      33.599    
65536      65536           262144            1000      62.246      1.05        4.21           68.223      59.697      64.115    
131072     131072          524288            1000      124.462     1.05        4.21           133.253     119.276     128.764   
262144     262144          1048576           1000      250.927     1.04        4.18           261.763     238.441     255.157   
524288     524288          2097152           1000      504.919     1.04        4.15           533.457     477.061     516.697   
1048576    1048576         4194304           1000      1027.179    1.02        4.08           1057.199    959.610     1035.781  

