the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.090       0.07        0.27           0.560       0.040       0.380     
2          12              48                1000      0.097       0.12        0.49           0.360       0.040       0.120     
4          24              96                1000      0.095       0.25        1.01           0.280       0.040       0.100     
8          48              192               1000      0.096       0.50        2.00           0.280       0.040       0.240     
16         96              384               1000      0.108       0.89        3.56           0.580       0.060       0.140     
32         192             768               1000      0.116       1.65        6.61           0.300       0.080       0.660     
64         384             1536              1000      0.133       2.90        11.58          0.300       0.100       0.480     
128        768             3072              1000      0.204       3.77        15.09          0.480       0.160       0.760     
256        1536            6144              1000      0.341       4.51        18.02          0.840       0.280       0.840     
512        3072            12288             1000      0.701       4.38        17.52          1.200       0.580       1.840     
1024       6144            24576             1000      1.222       5.03        20.11          6.480       1.060       3.960     
2048       12288           49152             1000      2.709       4.54        18.14          4.780       2.480       7.400     
4096       24576           98304             1000      5.252       4.68        18.72          6.800       5.100       10.520    
8192       49152           196608            1000      10.380      4.74        18.94          108.240     9.720       23.500    
16384      98304           393216            1000      20.664      4.76        19.03          51.680      18.980      56.220    
32768      196608          786432            1000      71.762      2.74        10.96          150.900     63.380      117.220   
65536      393216          1572864           1000      205.398     1.91        7.66           240.780     198.660     228.620   
131072     786432          3145728           1000      420.030     1.87        7.49           510.740     414.560     417.480   
262144     1572864         6291456           1000      888.713     1.77        7.08           1054.680    877.040     880.520   
524288     3145728         12582912          1000      1869.668    1.68        6.73           2061.620    1848.500    1854.640  
1048576    6291456         25165824          1000      4995.903    1.26        5.04           5427.700    4900.240    4985.160  

