the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.096       0.01        0.12           0.310       0.082       0.252     
2          2               24                1000      0.095       0.02        0.25           0.132       0.083       0.581     
4          4               48                1000      0.096       0.04        0.50           0.159       0.087       0.311     
8          8               96                1000      0.097       0.08        0.99           0.132       0.089       0.268     
16         16              192               1000      0.097       0.16        1.97           0.300       0.085       0.452     
32         32              384               1000      0.100       0.32        3.85           0.131       0.089       0.349     
64         64              768               1000      0.104       0.61        7.37           0.138       0.090       0.325     
128        128             1536              1000      0.113       1.13        13.53          0.270       0.104       0.275     
256        256             3072              1000      0.137       1.86        22.37          0.198       0.124       0.295     
512        512             6144              1000      0.181       2.83        33.95          0.399       0.172       0.295     
1024       1024            12288             1000      0.311       3.30        39.56          0.384       0.286       0.686     
2048       2048            24576             1000      0.519       3.94        47.33          0.992       0.493       0.916     
4096       4096            49152             1000      0.962       4.26        51.09          1.208       0.938       1.470     
8192       8192            98304             1000      1.815       4.51        54.16          3.158       1.746       2.948     
16384      16384           196608            1000      3.602       4.55        54.58          5.028       3.423       5.603     
32768      32768           393216            1000      9.442       3.47        41.64          15.097      8.621       12.072    
65536      65536           786432            1000      19.006      3.45        41.38          61.784      17.939      25.236    
131072     131072          1572864           1000      38.747      3.38        40.59          126.962     37.155      47.220    
262144     262144          3145728           1000      82.858      3.16        37.97          124.072     76.730      103.234   
524288     524288          6291456           1000      266.492     1.97        23.61          299.530     246.937     274.457   
1048576    1048576         12582912          1000      537.742     1.95        23.40          578.035     524.508     558.555   

