the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.107       0.01        0.11           0.300       0.040       0.080     
2          2               24                1000      0.115       0.02        0.21           1.520       0.060       0.280     
4          4               48                1000      0.118       0.03        0.41           0.300       0.060       0.340     
8          8               96                1000      0.122       0.07        0.79           1.840       0.060       0.160     
16         16              192               1000      0.087       0.18        2.20           0.260       0.060       0.400     
32         32              384               1000      0.092       0.35        4.16           0.260       0.060       0.100     
64         64              768               1000      0.105       0.61        7.33           0.540       0.080       0.240     
128        128             1536              1000      0.129       0.99        11.93          0.300       0.100       2.980     
256        256             3072              1000      0.192       1.33        15.97          0.480       0.180       0.320     
512        512             6144              1000      0.297       1.72        20.66          0.700       0.260       0.700     
1024       1024            12288             1000      0.534       1.92        23.03          2.920       0.500       0.980     
2048       2048            24576             1000      1.801       1.14        13.65          8.780       1.200       2.460     
4096       4096            49152             1000      2.544       1.61        19.32          3.520       2.480       5.180     
8192       8192            98304             1000      5.062       1.62        19.42          8.320       4.920       11.940    
16384      16384           196608            1000      11.469      1.43        17.14          20.260      10.940      29.340    
32768      32768           393216            1000      21.897      1.50        17.96          59.440      20.720      61.420    
65536      65536           786432            1000      105.120     0.62        7.48           178.100     91.860      152.240   
131072     131072          1572864           1000      258.599     0.51        6.08           286.180     247.580     246.220   
262144     262144          3145728           1000      504.171     0.52        6.24           551.220     489.580     477.540   
524288     524288          6291456           1000      953.294     0.55        6.60           1018.880    937.280     948.940   
1048576    1048576         12582912          1000      2444.961    0.43        5.15           2590.600    2381.020    2319.140  

