the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.590       0.00        0.02           11.800      0.540       1.880     
2          2               24                1000      0.588       0.00        0.04           1.000       0.500       2.360     
4          4               48                1000      0.581       0.01        0.08           0.800       0.500       2.440     
8          8               96                1000      0.579       0.01        0.17           0.960       0.500       2.620     
16         16              192               1000      0.561       0.03        0.34           0.860       0.480       2.240     
32         32              384               1000      0.584       0.05        0.66           1.540       0.500       3.180     
64         64              768               1000      0.592       0.11        1.30           0.780       0.520       1.460     
128        128             1536              1000      0.644       0.20        2.39           1.240       0.540       1.780     
256        256             3072              1000      0.716       0.36        4.29           1.040       0.640       2.620     
512        512             6144              1000      0.902       0.57        6.81           1.140       0.840       2.380     
1024       1024            12288             1000      1.206       0.85        10.19          11.460      1.140       2.460     
2048       2048            24576             1000      2.405       0.85        10.22          3.420       1.860       4.360     
4096       4096            49152             1000      2.999       1.37        16.39          8.360       2.920       6.540     
8192       8192            98304             1000      5.553       1.48        17.70          11.900      5.380       14.580    
16384      16384           196608            1000      12.081      1.36        16.27          28.540      11.680      32.560    
32768      32768           393216            1000      20.683      1.58        19.01          58.160      19.420      57.380    
65536      65536           786432            1000      93.741      0.70        8.39           141.820     84.940      138.900   
131072     131072          1572864           1000      289.519     0.45        5.43           392.580     282.020     270.140   
262144     262144          3145728           1000      633.833     0.41        4.96           703.440     611.460     598.560   
524288     524288          6291456           1000      1212.587    0.43        5.19           1334.700    1195.200    1197.680  
1048576    1048576         12582912          1000      2008.154    0.52        6.27           2215.620    1990.220    2007.320  

