the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.131       0.02        0.06           0.480       0.060       0.280     
2          4               16                1000      0.131       0.03        0.12           0.340       0.060       0.320     
4          8               32                1000      0.133       0.06        0.24           0.300       0.060       0.500     
8          16              64                1000      0.136       0.12        0.47           0.560       0.060       0.120     
16         32              128               1000      0.136       0.24        0.94           0.300       0.080       0.320     
32         64              256               1000      0.114       0.56        2.25           0.280       0.080       0.140     
64         128             512               1000      0.122       1.05        4.20           0.280       0.080       0.200     
128        256             1024              1000      0.132       1.94        7.78           0.280       0.120       0.360     
256        512             2048              1000      0.193       2.65        10.59          0.360       0.180       0.240     
512        1024            4096              1000      0.258       3.97        15.90          0.520       0.240       0.600     
1024       2048            8192              1000      0.444       4.61        18.44          9.520       0.420       0.980     
2048       4096            16384             1000      0.874       4.69        18.74          1.580       0.820       1.860     
4096       8192            32768             1000      1.785       4.59        18.36          2.520       1.720       4.520     
8192       16384           65536             1000      3.420       4.79        19.16          5.760       3.300       8.740     
16384      32768           131072            1000      6.790       4.83        19.30          14.700      6.580       19.920    
32768      65536           262144            1000      13.276      4.94        19.75          30.960      12.820      43.220    
65536      131072          524288            1000      37.150      3.53        14.11          143.360     26.400      136.760   
131072     262144          1048576           1000      156.692     1.67        6.69           188.060     147.340     160.940   
262144     524288          2097152           1000      352.416     1.49        5.95           405.240     338.960     319.640   
524288     1048576         4194304           1000      681.835     1.54        6.15           731.080     667.720     659.620   
1048576    2097152         8388608           1000      1331.642    1.57        6.30           1422.940    1317.320    1321.480  

