the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.102       0.01        0.12           0.138       0.088       0.213     
2          2               24                1000      0.102       0.02        0.24           0.138       0.088       0.240     
4          4               48                1000      0.104       0.04        0.46           0.135       0.090       0.209     
8          8               96                1000      0.101       0.08        0.95           0.111       0.087       0.224     
16         16              192               1000      0.109       0.15        1.76           5.950       0.090       0.216     
32         32              384               1000      0.106       0.30        3.62           0.130       0.093       0.221     
64         64              768               1000      0.113       0.56        6.77           0.429       0.101       0.248     
128        128             1536              1000      0.135       0.95        11.38          0.177       0.128       0.370     
256        256             3072              1000      0.180       1.42        17.06          0.247       0.168       0.331     
512        512             6144              1000      0.268       1.91        22.88          0.493       0.256       0.442     
1024       1024            12288             1000      0.437       2.34        28.13          0.678       0.426       0.573     
2048       2048            24576             1000      0.859       2.39        28.62          0.913       0.825       1.000     
4096       4096            49152             1000      1.713       2.39        28.69          1.768       1.689       2.280     
8192       8192            98304             1000      3.360       2.44        29.25          9.362       3.290       4.308     
16384      16384           196608            1000      16.344      1.00        12.03          27.727      15.715      107.913   
32768      32768           393216            1000      24.790      1.32        15.86          30.691      23.955      30.197    
65536      65536           786432            1000      48.213      1.36        16.31          64.838      47.244      52.557    
131072     131072          1572864           1000      86.401      1.52        18.20          1530.217    83.740      93.911    
262144     262144          3145728           1000      162.303     1.62        19.38          1445.661    158.639     166.627   
524288     524288          6291456           1000      307.850     1.70        20.44          1921.372    298.777     402.391   
1048576    1048576         12582912          1000      678.144     1.55        18.55          1613.572    666.641     817.915   

