the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.178       0.01        0.04           2.200       0.080       0.780     
2          4               16                1000      0.190       0.02        0.08           0.420       0.080       1.300     
4          8               32                1000      0.188       0.04        0.17           12.420      0.080       1.220     
8          16              64                1000      0.184       0.09        0.35           0.340       0.080       0.860     
16         32              128               1000      0.176       0.18        0.73           0.360       0.060       0.780     
32         64              256               1000      0.178       0.36        1.44           0.360       0.080       0.420     
64         128             512               1000      0.183       0.70        2.80           0.300       0.100       0.720     
128        256             1024              1000      0.197       1.30        5.19           0.380       0.120       0.920     
256        512             2048              1000      0.232       2.20        8.81           0.380       0.160       1.020     
512        1024            4096              1000      0.364       2.81        11.26          0.560       0.280       1.440     
1024       2048            8192              1000      0.563       3.63        14.54          0.860       0.480       2.020     
2048       4096            16384             1000      0.964       4.25        17.00          1.660       0.880       4.660     
4096       8192            32768             1000      2.061       3.98        15.90          251.740     1.720       7.860     
8192       16384           65536             1000      3.397       4.82        19.29          4.480       3.300       16.120    
16384      32768           131072            1000      6.639       4.94        19.74          16.340      6.460       33.760    
32768      65536           262144            1000      20.049      3.27        13.08          65.960      13.760      68.160    
65536      131072          524288            1000      27.211      4.82        19.27          131.400     25.920      106.440   
131072     262144          1048576           1000      171.438     1.53        6.12           402.120     162.140     200.800   
262144     524288          2097152           1000      368.885     1.42        5.69           391.020     359.840     338.180   
524288     1048576         4194304           1000      722.059     1.45        5.81           755.140     711.300     674.860   
1048576    2097152         8388608           1000      1275.897    1.64        6.57           1546.120    1259.340    1317.120  

