the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.074       0.01        0.16           0.130       0.073       0.107     
2          2               24                1000      0.076       0.03        0.32           0.114       0.075       0.113     
4          4               48                1000      0.078       0.05        0.62           0.085       0.077       0.134     
8          8               96                1000      0.082       0.10        1.17           0.166       0.081       0.123     
16         16              192               1000      0.090       0.18        2.13           0.123       0.088       0.313     
32         32              384               1000      0.102       0.31        3.75           0.138       0.101       0.155     
64         64              768               1000      0.128       0.50        6.02           0.199       0.126       0.185     
128        128             1536              1000      0.181       0.71        8.49           0.249       0.177       0.242     
256        256             3072              1000      0.283       0.91        10.87          0.351       0.279       0.352     
512        512             6144              1000      0.489       1.05        12.56          0.563       0.483       0.540     
1024       1024            12288             1000      0.901       1.14        13.63          0.976       0.890       0.988     
2048       2048            24576             1000      1.748       1.17        14.06          2.110       1.707       1.783     
4096       4096            49152             1000      3.376       1.21        14.56          10.637      3.351       3.694     
8192       8192            98304             1000      6.797       1.21        14.46          7.109       6.656       7.776     
16384      16384           196608            1000      13.852      1.18        14.19          19.314      13.605      16.171    
32768      32768           393216            1000      29.759      1.10        13.21          34.782      29.155      33.454    
65536      65536           786432            1000      61.098      1.07        12.87          71.346      60.307      65.585    
131072     131072          1572864           1000      136.860     0.96        11.49          143.122     136.115     149.823   
262144     262144          3145728           1000      314.332     0.83        10.01          330.227     296.259     336.930   
524288     524288          6291456           1000      661.767     0.79        9.51           683.385     634.705     677.155   
1048576    1048576         12582912          1000      1433.403    0.73        8.78           1458.632    1417.084    1434.662  

