the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.332       0.01        0.02           0.660       0.300       1.140     
2          4               16                1000      0.336       0.01        0.05           0.840       0.300       1.260     
4          8               32                1000      0.337       0.02        0.09           0.960       0.300       2.200     
8          16              64                1000      0.335       0.05        0.19           1.100       0.280       1.140     
16         32              128               1000      0.322       0.10        0.40           0.760       0.280       1.200     
32         64              256               1000      0.334       0.19        0.77           0.740       0.300       1.180     
64         128             512               1000      0.327       0.39        1.57           0.900       0.300       1.020     
128        256             1024              1000      0.363       0.71        2.82           0.780       0.320       1.480     
256        512             2048              1000      0.409       1.25        5.01           0.900       0.380       1.140     
512        1024            4096              1000      0.501       2.05        8.18           0.880       0.460       2.100     
1024       2048            8192              1000      0.698       2.94        11.74          2.020       0.660       2.040     
2048       4096            16384             1000      1.132       3.62        14.48          1.980       1.080       3.400     
4096       8192            32768             1000      2.013       4.07        16.28          5.260       1.940       6.060     
8192       16384           65536             1000      3.915       4.18        16.74          172.080     3.540       10.000    
16384      32768           131072            1000      7.050       4.65        18.59          14.420      6.800       24.340    
32768      65536           262144            1000      13.555      4.83        19.34          101.220     12.980      48.160    
65536      131072          524288            1000      39.017      3.36        13.44          98.640      28.100      104.400   
131072     262144          1048576           1000      189.264     1.39        5.54           277.120     175.160     175.360   
262144     524288          2097152           1000      448.795     1.17        4.67           627.460     437.180     443.800   
524288     1048576         4194304           1000      927.227     1.13        4.52           1260.700    912.860     896.080   
1048576    2097152         8388608           1000      1836.546    1.14        4.57           2042.360    1818.100    1824.820  

