the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.092       0.01        0.09           0.139       0.089       0.436     
2          2               16                1000      0.102       0.02        0.16           0.141       0.100       0.578     
4          4               32                1000      0.090       0.04        0.35           0.308       0.086       0.471     
8          8               64                1000      0.094       0.09        0.68           0.317       0.091       0.453     
16         16              128               1000      0.109       0.15        1.18           0.250       0.106       0.455     
32         32              256               1000      0.139       0.23        1.84           0.357       0.136       0.367     
64         64              512               1000      0.202       0.32        2.54           0.304       0.197       0.563     
128        128             1024              1000      0.334       0.38        3.07           0.452       0.324       0.538     
256        256             2048              1000      0.582       0.44        3.52           0.871       0.565       0.747     
512        512             4096              1000      1.072       0.48        3.82           12.956      1.038       1.164     
1024       1024            8192              1000      2.047       0.50        4.00           2.489       1.999       2.237     
2048       2048            16384             1000      4.038       0.51        4.06           13.699      3.981       4.306     
4096       4096            32768             1000      7.977       0.51        4.11           21.473      7.757       8.261     
8192       8192            65536             1000      15.826      0.52        4.14           43.936      15.434      16.387    
16384      16384           131072            1000      32.314      0.51        4.06           292.694     30.851      33.878    
32768      32768           262144            1000      64.628      0.51        4.06           143.356     61.912      65.937    
65536      65536           524288            1000      126.665     0.52        4.14           200.550     123.327     129.915   
131072     131072          1048576           1000      252.070     0.52        4.16           294.934     246.022     276.828   
262144     262144          2097152           1000      502.435     0.52        4.17           532.896     491.765     560.994   
524288     524288          4194304           1000      1094.698    0.48        3.83           1160.876    1071.051    1095.676  
1048576    1048576         8388608           1000      2182.408    0.48        3.84           2245.347    2135.826    2185.310  

