the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.079       0.03        0.10           0.109       0.076       0.304     
2          4               16                1000      0.081       0.05        0.20           0.308       0.077       0.212     
4          8               32                1000      0.082       0.10        0.39           0.302       0.078       0.155     
8          16              64                1000      0.085       0.19        0.75           0.312       0.082       0.243     
16         32              128               1000      0.094       0.34        1.36           0.320       0.092       0.428     
32         64              256               1000      0.109       0.59        2.35           0.332       0.106       0.173     
64         128             512               1000      0.147       0.87        3.47           0.355       0.136       0.201     
128        256             1024              1000      0.198       1.30        5.18           0.511       0.194       0.240     
256        512             2048              1000      0.326       1.57        6.29           7.022       0.310       0.384     
512        1024            4096              1000      0.557       1.84        7.35           0.767       0.552       0.885     
1024       2048            8192              1000      1.019       2.01        8.04           1.241       1.017       1.067     
2048       4096            16384             1000      1.975       2.07        8.29           2.212       1.948       2.056     
4096       8192            32768             1000      3.831       2.14        8.55           8.897       3.818       3.886     
8192       16384           65536             1000      7.573       2.16        8.65           7.876       7.543       7.642     
16384      32768           131072            1000      15.048      2.18        8.71           19.331      14.993      15.235    
32768      65536           262144            1000      29.962      2.19        8.75           36.898      29.907      30.815    
65536      131072          524288            1000      59.775      2.19        8.77           65.619      59.712      60.937    
131072     262144          1048576           1000      119.386     2.20        8.78           127.551     119.276     120.756   
262144     524288          2097152           1000      238.837     2.20        8.78           247.480     238.442     241.753   
524288     1048576         4194304           1000      485.941     2.16        8.63           500.267     483.531     486.153   
1048576    2097152         8388608           1000      980.407     2.14        8.56           997.239     975.876     978.912   

