the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.281       0.00        0.04           0.523       0.271       0.642     
2          2               24                1000      0.287       0.01        0.08           0.337       0.277       0.463     
4          4               48                1000      0.288       0.01        0.17           0.524       0.278       0.455     
8          8               96                1000      0.296       0.03        0.32           0.331       0.289       0.764     
16         16              192               1000      0.313       0.05        0.61           0.374       0.302       0.711     
32         32              384               1000      0.341       0.09        1.13           0.567       0.332       0.527     
64         64              768               1000      0.403       0.16        1.90           0.466       0.393       0.632     
128        128             1536              1000      0.536       0.24        2.86           0.740       0.527       0.851     
256        256             3072              1000      0.795       0.32        3.87           0.938       0.785       1.081     
512        512             6144              1000      1.344       0.38        4.57           1.426       1.333       1.485     
1024       1024            12288             1000      2.411       0.42        5.10           8.710       2.380       2.854     
2048       2048            24576             1000      4.501       0.45        5.46           4.797       4.481       5.038     
4096       4096            49152             1000      8.948       0.46        5.49           16.313      8.676       9.156     
8192       8192            98304             1000      17.474      0.47        5.63           25.460      17.065      17.435    
16384      16384           196608            1000      34.415      0.48        5.71           39.443      33.904      34.425    
32768      32768           393216            1000      67.732      0.48        5.81           73.688      67.475      67.983    
65536      65536           786432            1000      134.685     0.49        5.84           142.372     134.470     135.299   
131072     131072          1572864           1000      268.833     0.49        5.85           277.417     268.559     269.493   
262144     262144          3145728           1000      537.538     0.49        5.85           545.678     536.799     538.260   
524288     524288          6291456           1000      1075.453    0.49        5.85           1105.285    1073.715    1075.132  
1048576    1048576         12582912          1000      2149.719    0.49        5.85           2205.467    2147.083    2148.492  

