the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.091       0.01        0.13           0.295       0.078       0.275     
2          2               24                1000      0.094       0.02        0.25           0.122       0.079       0.269     
4          4               48                1000      0.094       0.04        0.51           0.131       0.083       0.139     
8          8               96                1000      0.094       0.09        1.02           0.117       0.083       0.256     
16         16              192               1000      0.086       0.19        2.24           0.123       0.075       0.227     
32         32              384               1000      0.088       0.36        4.35           0.216       0.078       0.261     
64         64              768               1000      0.090       0.71        8.53           0.295       0.089       0.188     
128        128             1536              1000      0.099       1.29        15.45          0.185       0.090       0.481     
256        256             3072              1000      0.119       2.16        25.91          0.150       0.112       0.265     
512        512             6144              1000      0.159       3.22        38.58          0.577       0.149       0.257     
1024       1024            12288             1000      0.288       3.55        42.64          0.420       0.267       0.527     
2048       2048            24576             1000      0.487       4.21        50.47          0.932       0.463       0.962     
4096       4096            49152             1000      0.946       4.33        51.93          1.129       0.921       1.511     
8192       8192            98304             1000      1.800       4.55        54.62          10.155      1.734       2.843     
16384      16384           196608            1000      3.578       4.58        54.95          5.048       3.400       5.443     
32768      32768           393216            1000      8.680       3.77        45.30          10.633      8.318       10.592    
65536      65536           786432            1000      18.105      3.62        43.44          104.561     17.382      22.277    
131072     131072          1572864           1000      37.176      3.53        42.31          95.638      35.679      46.380    
262144     262144          3145728           1000      76.949      3.41        40.88          137.760     71.640      95.664    
524288     524288          6291456           1000      246.814     2.12        25.49          279.755     228.197     256.366   
1048576    1048576         12582912          1000      527.827     1.99        23.84          573.328     516.159     551.963   

