the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.092       0.01        0.13           0.440       0.040       0.340     
2          2               24                1000      0.092       0.02        0.26           0.460       0.040       0.080     
4          4               48                1000      0.089       0.04        0.54           0.520       0.040       0.340     
8          8               96                1000      0.089       0.09        1.08           0.500       0.040       0.420     
16         16              192               1000      0.086       0.19        2.23           0.760       0.060       0.120     
32         32              384               1000      0.098       0.33        3.92           0.280       0.060       0.160     
64         64              768               1000      0.114       0.56        6.72           0.260       0.080       0.360     
128        128             1536              1000      0.138       0.92        11.10          0.380       0.100       0.200     
256        256             3072              1000      0.194       1.32        15.80          0.340       0.160       0.580     
512        512             6144              1000      0.311       1.65        19.76          0.880       0.240       0.780     
1024       1024            12288             1000      0.551       1.86        22.30          1.080       0.520       1.340     
2048       2048            24576             1000      1.394       1.47        17.62          9.320       1.200       2.900     
4096       4096            49152             1000      2.520       1.63        19.51          3.960       2.460       5.480     
8192       8192            98304             1000      5.283       1.55        18.61          12.680      4.900       11.700    
16384      16384           196608            1000      11.230      1.46        17.51          71.200      10.700      34.260    
32768      32768           393216            1000      22.069      1.48        17.82          61.020      20.760      75.480    
65536      65536           786432            1000      113.365     0.58        6.94           205.220     101.040     151.900   
131072     131072          1572864           1000      271.736     0.48        5.79           314.500     257.640     284.900   
262144     262144          3145728           1000      539.019     0.49        5.84           607.240     514.220     508.960   
524288     524288          6291456           1000      916.853     0.57        6.86           1060.720    899.180     901.360   
1048576    1048576         12582912          1000      2501.960    0.42        5.03           2859.680    2455.940    2391.540  

