the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.094       0.01        0.13           0.260       0.040       0.100     
2          2               24                1000      0.108       0.02        0.22           0.280       0.060       0.320     
4          4               48                1000      0.108       0.04        0.44           0.300       0.060       0.100     
8          8               96                1000      0.108       0.07        0.89           0.260       0.060       0.300     
16         16              192               1000      0.105       0.15        1.83           0.280       0.100       0.140     
32         32              384               1000      0.120       0.27        3.20           0.180       0.100       0.300     
64         64              768               1000      0.151       0.42        5.08           0.320       0.120       0.320     
128        128             1536              1000      0.197       0.65        7.80           0.520       0.180       0.240     
256        256             3072              1000      0.332       0.77        9.24           0.700       0.300       0.520     
512        512             6144              1000      0.554       0.92        11.08          1.140       0.500       1.020     
1024       1024            12288             1000      1.079       0.95        11.39          1.300       1.040       1.320     
2048       2048            24576             1000      2.018       1.01        12.18          8.880       1.880       2.660     
4096       4096            49152             1000      3.642       1.12        13.49          13.480      3.520       6.240     
8192       8192            98304             1000      7.157       1.14        13.74          14.000      6.920       13.200    
16384      16384           196608            1000      14.075      1.16        13.97          24.620      13.580      27.920    
32768      32768           393216            1000      27.990      1.17        14.05          60.620      27.020      56.780    
65536      65536           786432            1000      93.657      0.70        8.40           137.260     84.520      101.160   
131072     131072          1572864           1000      197.424     0.66        7.97           230.320     190.900     188.160   
262144     262144          3145728           1000      488.423     0.54        6.44           542.760     476.600     475.600   
524288     524288          6291456           1000      906.261     0.58        6.94           961.540     893.160     901.560   
1048576    1048576         12582912          1000      2309.127    0.45        5.45           2441.240    2252.020    2206.840  

