the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.077       0.01        0.16           0.309       0.076       0.272     
2          2               24                1000      0.077       0.03        0.31           0.125       0.076       0.684     
4          4               48                1000      0.077       0.05        0.62           0.303       0.075       0.398     
8          8               96                1000      0.077       0.10        1.24           0.291       0.075       0.365     
16         16              192               1000      0.076       0.21        2.53           0.283       0.075       0.320     
32         32              384               1000      0.101       0.32        3.82           23.691      0.076       0.588     
64         64              768               1000      0.083       0.77        9.30           0.306       0.080       0.450     
128        128             1536              1000      0.094       1.36        16.26          0.439       0.088       0.527     
256        256             3072              1000      0.114       2.25        27.03          0.515       0.108       0.865     
512        512             6144              1000      0.153       3.34        40.11          0.520       0.147       1.347     
1024       1024            12288             1000      0.281       3.64        43.66          0.525       0.262       1.079     
2048       2048            24576             1000      0.501       4.08        49.01          14.024      0.467       2.555     
4096       4096            49152             1000      0.962       4.26        51.10          1.804       0.917       3.554     
8192       8192            98304             1000      2.455       3.34        40.04          4.314       2.017       7.918     
16384      16384           196608            1000      6.950       2.36        28.29          871.640     5.027       13.956    
32768      32768           393216            1000      24.183      1.35        16.26          37.726      21.756      63.519    
65536      65536           786432            1000      59.343      1.10        13.25          94.099      55.493      66.959    
131072     131072          1572864           1000      132.884     0.99        11.84          173.598     128.829     166.089   
262144     262144          3145728           1000      264.178     0.99        11.91          292.565     251.700     305.375   
524288     524288          6291456           1000      573.383     0.91        10.97          676.569     543.303     729.985   
1048576    1048576         12582912          1000      764.668     1.37        16.46          802.610     756.733     905.524   

