the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.074       0.01        0.16           0.089       0.073       0.323     
2          2               24                1000      0.075       0.03        0.32           0.083       0.074       0.157     
4          4               48                1000      0.076       0.05        0.63           0.125       0.075       0.352     
8          8               96                1000      0.079       0.10        1.21           0.301       0.078       0.266     
16         16              192               1000      0.086       0.19        2.23           0.110       0.085       0.308     
32         32              384               1000      0.096       0.33        3.99           0.193       0.095       0.254     
64         64              768               1000      0.121       0.53        6.37           0.125       0.120       0.216     
128        128             1536              1000      0.175       0.73        8.77           0.214       0.172       0.257     
256        256             3072              1000      0.271       0.94        11.34          0.319       0.265       0.373     
512        512             6144              1000      0.457       1.12        13.45          0.483       0.442       0.684     
1024       1024            12288             1000      0.828       1.24        14.83          0.884       0.795       0.907     
2048       2048            24576             1000      1.569       1.31        15.66          1.650       1.506       1.758     
4096       4096            49152             1000      3.082       1.33        15.95          8.950       3.022       3.363     
8192       8192            98304             1000      6.020       1.36        16.33          6.422       5.809       6.479     
16384      16384           196608            1000      12.425      1.32        15.82          12.721      11.669      12.716    
32768      32768           393216            1000      24.887      1.32        15.80          33.579      24.595      26.048    
65536      65536           786432            1000      49.301      1.33        15.95          83.244      47.723      56.695    
131072     131072          1572864           1000      96.814      1.35        16.25          128.886     95.667      96.614    
262144     262144          3145728           1000      259.163     1.01        12.14          304.891     215.014     261.753   
524288     524288          6291456           1000      388.072     1.35        16.21          412.998     379.222     393.219   
1048576    1048576         12582912          1000      882.783     1.19        14.25          916.219     872.732     894.650   

