the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.223       0.00        0.04           0.458       0.215       0.608     
2          2               16                1000      0.230       0.01        0.07           0.295       0.222       0.610     
4          4               32                1000      0.247       0.02        0.13           0.523       0.235       0.742     
8          8               64                1000      0.281       0.03        0.23           0.368       0.271       0.825     
16         16              128               1000      0.380       0.04        0.34           0.457       0.365       1.006     
32         32              256               1000      0.530       0.06        0.48           1.136       0.519       0.964     
64         64              512               1000      0.841       0.08        0.61           1.172       0.819       1.256     
128        128             1024              1000      1.468       0.09        0.70           1.763       1.429       2.042     
256        256             2048              1000      2.666       0.10        0.77           3.835       2.637       3.473     
512        512             4096              1000      5.151       0.10        0.80           5.483       5.081       5.517     
1024       1024            8192              1000      12.568      0.08        0.65           2577.216    9.932       10.490    
2048       2048            16384             1000      20.729      0.10        0.79           834.279     19.685      20.510    
4096       4096            32768             1000      39.965      0.10        0.82           411.650     39.168      40.792    
8192       8192            65536             1000      79.721      0.10        0.82           358.311     78.169      84.602    
16384      16384           131072            1000      159.782     0.10        0.82           259.912     156.803     168.866   
32768      32768           262144            1000      323.827     0.10        0.81           468.526     316.077     327.730   
65536      65536           524288            1000      643.840     0.10        0.81           883.686     627.779     668.251   
131072     131072          1048576           1000      1263.384    0.10        0.83           1693.288    1252.906    1298.441  
262144     262144          2097152           1000      2519.098    0.10        0.83           2613.638    2506.384    2609.160  
524288     524288          4194304           1000      5229.767    0.10        0.80           6095.786    5195.329    5217.679  
1048576    1048576         8388608           1000      10524.891   0.10        0.80           10955.964   10491.333   10512.136 

