the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.089       0.01        0.09           0.219       0.088       0.358     
2          2               16                1000      0.101       0.02        0.16           0.317       0.098       0.297     
4          4               32                1000      0.120       0.03        0.27           0.146       0.119       0.252     
8          8               64                1000      0.164       0.05        0.39           0.391       0.161       0.571     
16         16              128               1000      0.245       0.07        0.52           0.298       0.244       0.430     
32         32              256               1000      0.410       0.08        0.62           0.630       0.406       0.629     
64         64              512               1000      0.752       0.09        0.68           0.784       0.747       0.920     
128        128             1024              1000      1.416       0.09        0.72           1.745       1.408       1.601     
256        256             2048              1000      2.745       0.09        0.75           8.833       2.722       3.139     
512        512             4096              1000      5.383       0.10        0.76           5.732       5.357       5.639     
1024       1024            8192              1000      10.682      0.10        0.77           16.942      10.631      10.815    
2048       2048            16384             1000      21.282      0.10        0.77           30.998      21.216      21.440    
4096       4096            32768             1000      43.260      0.09        0.76           464.353     42.383      42.922    
8192       8192            65536             1000      85.016      0.10        0.77           144.331     84.759      85.361    
16384      16384           131072            1000      169.564     0.10        0.77           264.067     168.939     170.037   
32768      32768           262144            1000      340.146     0.10        0.77           728.485     338.018     339.534   
65536      65536           524288            1000      689.809     0.10        0.76           753.436     683.289     718.165   
131072     131072          1048576           1000      1370.584    0.10        0.77           1441.339    1352.135    1417.879  
262144     262144          2097152           1000      2713.358    0.10        0.77           2801.551    2707.885    2763.987  
524288     524288          4194304           1000      5515.126    0.10        0.76           5611.398    5498.334    5546.800  
1048576    1048576         8388608           1000      11030.924   0.10        0.76           11425.316   11016.689   11034.904 

