the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.509       0.00        0.02           9.440       0.460       0.680     
2          2               24                1000      0.497       0.00        0.05           0.720       0.460       1.340     
4          4               48                1000      0.501       0.01        0.10           0.740       0.460       1.100     
8          8               96                1000      0.506       0.02        0.19           8.500       0.460       0.720     
16         16              192               1000      0.528       0.03        0.36           8.840       0.460       1.000     
32         32              384               1000      0.544       0.06        0.71           0.820       0.500       0.820     
64         64              768               1000      0.605       0.11        1.27           1.060       0.560       1.260     
128        128             1536              1000      0.711       0.18        2.16           1.240       0.660       1.280     
256        256             3072              1000      0.931       0.27        3.30           1.240       0.880       1.360     
512        512             6144              1000      1.373       0.37        4.47           10.520      1.300       2.040     
1024       1024            12288             1000      2.235       0.46        5.50           3.040       2.180       3.340     
2048       2048            24576             1000      3.976       0.52        6.18           5.640       3.900       5.060     
4096       4096            49152             1000      7.477       0.55        6.57           16.520      7.360       8.920     
8192       8192            98304             1000      14.385      0.57        6.83           22.660      14.180      16.280    
16384      16384           196608            1000      28.111      0.58        6.99           41.540      27.880      33.520    
32768      32768           393216            1000      56.126      0.58        7.01           82.440      55.340      86.360    
65536      65536           786432            1000      130.298     0.50        6.04           186.020     123.300     182.400   
131072     131072          1572864           1000      315.480     0.42        4.99           405.140     304.660     296.140   
262144     262144          3145728           1000      680.805     0.39        4.62           768.300     668.960     644.600   
524288     524288          6291456           1000      1296.564    0.40        4.85           1788.940    1272.580    1293.260  
1048576    1048576         12582912          1000      2215.111    0.47        5.68           2815.080    2190.040    2741.000  

