the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.482       0.00        0.02           0.780       0.460       1.200     
2          2               24                1000      0.492       0.00        0.05           0.760       0.440       1.120     
4          4               48                1000      0.508       0.01        0.09           0.760       0.460       1.860     
8          8               96                1000      0.493       0.02        0.19           7.720       0.460       2.260     
16         16              192               1000      0.485       0.03        0.40           0.780       0.440       1.660     
32         32              384               1000      0.500       0.06        0.77           0.920       0.460       2.080     
64         64              768               1000      0.511       0.13        1.50           0.700       0.480       2.220     
128        128             1536              1000      0.537       0.24        2.86           0.800       0.500       1.780     
256        256             3072              1000      0.641       0.40        4.79           7.000       0.580       2.000     
512        512             6144              1000      0.820       0.62        7.49           14.980      0.760       2.660     
1024       1024            12288             1000      1.115       0.92        11.02          8.100       1.060       3.720     
2048       2048            24576             1000      2.355       0.87        10.43          3.200       1.700       5.520     
4096       4096            49152             1000      2.910       1.41        16.89          9.680       2.820       9.040     
8192       8192            98304             1000      5.402       1.52        18.20          10.980      5.260       18.300    
16384      16384           196608            1000      11.843      1.38        16.60          27.960      11.540      39.960    
32768      32768           393216            1000      20.183      1.62        19.48          66.920      19.340      71.480    
65536      65536           786432            1000      105.421     0.62        7.46           148.280     96.300      127.020   
131072     131072          1572864           1000      232.902     0.56        6.75           285.400     225.880     255.780   
262144     262144          3145728           1000      529.188     0.50        5.94           614.940     519.200     506.680   
524288     524288          6291456           1000      1649.829    0.32        3.81           1763.800    1000.960    1724.900  
1048576    1048576         12582912          1000      2329.604    0.45        5.40           2404.820    2289.360    2319.860  

