the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.085       0.01        0.14           0.115       0.077       0.227     
2          2               24                1000      0.088       0.02        0.27           0.303       0.075       0.503     
4          4               48                1000      0.088       0.05        0.54           0.207       0.078       0.169     
8          8               96                1000      0.089       0.09        1.08           0.124       0.081       0.340     
16         16              192               1000      0.087       0.18        2.21           0.125       0.078       0.262     
32         32              384               1000      0.085       0.38        4.50           0.236       0.080       0.335     
64         64              768               1000      0.089       0.72        8.66           0.122       0.083       0.144     
128        128             1536              1000      0.096       1.33        15.98          0.200       0.089       0.192     
256        256             3072              1000      0.119       2.15        25.81          0.446       0.108       0.518     
512        512             6144              1000      0.158       3.24        38.85          0.368       0.152       0.290     
1024       1024            12288             1000      0.290       3.54        42.43          0.607       0.264       0.384     
2048       2048            24576             1000      0.494       4.14        49.71          1.047       0.474       0.885     
4096       4096            49152             1000      0.941       4.35        52.24          1.126       0.914       1.264     
8192       8192            98304             1000      1.793       4.57        54.83          13.175      1.718       3.138     
16384      16384           196608            1000      4.654       3.52        42.25          1086.015    3.427       5.231     
32768      32768           393216            1000      8.598       3.81        45.74          10.617      8.231       11.446    
65536      65536           786432            1000      17.971      3.65        43.76          23.957      17.189      22.056    
131072     131072          1572864           1000      37.267      3.52        42.21          45.302      35.675      46.109    
262144     262144          3145728           1000      76.751      3.42        40.99          110.911     71.460      98.845    
524288     524288          6291456           1000      247.262     2.12        25.44          295.193     230.787     262.808   
1048576    1048576         12582912          1000      528.166     1.99        23.82          585.636     516.870     533.895   

