the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.208       0.00        0.04           0.264       0.205       0.504     
2          2               16                1000      0.210       0.01        0.08           0.275       0.206       0.429     
4          4               32                1000      0.212       0.02        0.15           0.266       0.209       0.491     
8          8               64                1000      0.215       0.04        0.30           0.256       0.212       0.770     
16         16              128               1000      0.223       0.07        0.57           0.497       0.220       0.531     
32         32              256               1000      0.237       0.13        1.08           0.302       0.234       0.485     
64         64              512               1000      0.269       0.24        1.90           0.519       0.263       0.506     
128        128             1024              1000      0.326       0.39        3.14           0.404       0.321       0.848     
256        256             2048              1000      0.442       0.58        4.64           0.577       0.437       0.547     
512        512             4096              1000      0.685       0.75        5.98           0.984       0.678       0.973     
1024       1024            8192              1000      1.157       0.89        7.08           7.126       1.144       2.343     
2048       2048            16384             1000      2.093       0.98        7.83           10.509      2.075       2.347     
4096       4096            32768             1000      4.019       1.02        8.15           12.428      3.965       4.909     
8192       8192            65536             1000      7.744       1.06        8.46           8.135       7.687       8.187     
16384      16384           131072            1000      15.551      1.05        8.43           20.480      15.146      16.259    
32768      32768           262144            1000      30.829      1.06        8.50           37.879      30.302      30.900    
65536      65536           524288            1000      61.150      1.07        8.57           68.451      60.306      61.800    
131072     131072          1048576           1000      121.520     1.08        8.63           129.703     120.574     121.759   
262144     262144          2097152           1000      240.702     1.09        8.71           249.212     240.037     240.938   
524288     524288          4194304           1000      479.060     1.09        8.76           510.440     477.993     480.004   
1048576    1048576         8388608           1000      958.281     1.09        8.75           968.193     956.249     958.035   

