the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.062       0.03        0.13           0.080       0.060       0.200     
2          4               16                1000      0.065       0.06        0.25           0.080       0.060       0.200     
4          8               32                1000      0.064       0.13        0.50           0.080       0.060       0.240     
8          16              64                1000      0.064       0.25        1.00           0.080       0.060       0.300     
16         32              128               1000      0.073       0.44        1.76           0.080       0.060       0.180     
32         64              256               1000      0.078       0.83        3.30           0.100       0.060       0.260     
64         128             512               1000      0.085       1.51        6.06           0.120       0.080       0.540     
128        256             1024              1000      0.104       2.47        9.89           0.120       0.100       7.480     
256        512             2048              1000      0.136       3.76        15.05          0.160       0.120       0.620     
512        1024            4096              1000      0.204       5.03        20.11          0.340       0.200       0.840     
1024       2048            8192              1000      0.336       6.09        24.37          0.360       0.320       1.120     
2048       4096            16384             1000      0.644       6.36        25.42          18.380      0.620       2.940     
4096       8192            32768             1000      1.216       6.73        26.94          1.260       1.180       4.560     
8192       16384           65536             1000      3.301       4.96        19.85          16.720      3.260       8.740     
16384      32768           131072            1000      6.970       4.70        18.81          18.500      6.660       21.080    
32768      65536           262144            1000      12.617      5.19        20.78          35.780      12.440      42.960    
65536      131072          524288            1000      37.909      3.46        13.83          68.920      29.940      88.600    
131072     262144          1048576           1000      51.480      5.09        20.37          189.400     50.140      175.720   
262144     524288          2097152           1000      252.733     2.07        8.30           423.480     240.020     394.340   
524288     1048576         4194304           1000      751.699     1.39        5.58           977.140     739.160     987.660   
1048576    2097152         8388608           1000      1666.314    1.26        5.03           2046.860    1637.120    1650.780  

