the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.064       0.03        0.12           0.080       0.060       0.420     
2          4               16                1000      0.068       0.06        0.24           0.080       0.060       0.520     
4          8               32                1000      0.065       0.12        0.49           0.120       0.060       0.380     
8          16              64                1000      0.070       0.23        0.91           0.080       0.060       0.480     
16         32              128               1000      0.076       0.42        1.68           0.100       0.060       0.300     
32         64              256               1000      0.079       0.81        3.26           0.100       0.060       0.120     
64         128             512               1000      0.086       1.50        5.98           0.100       0.080       0.260     
128        256             1024              1000      0.104       2.46        9.84           0.140       0.100       0.280     
256        512             2048              1000      0.138       3.71        14.84          0.160       0.120       0.420     
512        1024            4096              1000      0.208       4.92        19.68          0.260       0.200       0.580     
1024       2048            8192              1000      0.368       5.56        22.26          0.380       0.340       1.260     
2048       4096            16384             1000      0.643       6.37        25.47          0.780       0.620       2.800     
4096       8192            32768             1000      1.268       6.46        25.85          1.320       1.240       5.480     
8192       16384           65536             1000      4.339       3.78        15.11          13.980      4.320       10.640    
16384      32768           131072            1000      10.037      3.26        13.06          24.460      9.660       38.960    
32768      65536           262144            1000      16.856      3.89        15.55          36.180      16.600      45.740    
65536      131072          524288            1000      41.735      3.14        12.56          99.360      40.420      102.480   
131072     262144          1048576           1000      66.516      3.94        15.76          238.860     65.280      188.600   
262144     524288          2097152           1000      336.832     1.56        6.23           609.080     310.920     764.760   
524288     1048576         4194304           1000      945.272     1.11        4.44           1544.080    744.400     903.780   
1048576    2097152         8388608           1000      1701.655    1.23        4.93           2103.680    1668.080    1699.000  

