the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.074       0.01        0.16           0.089       0.074       0.110     
2          2               24                1000      0.075       0.03        0.32           0.082       0.074       0.110     
4          4               48                1000      0.075       0.05        0.64           0.083       0.074       0.355     
8          8               96                1000      0.075       0.11        1.28           0.083       0.075       0.229     
16         16              192               1000      0.075       0.21        2.56           0.089       0.075       0.355     
32         32              384               1000      0.076       0.42        5.05           0.085       0.076       0.133     
64         64              768               1000      0.081       0.79        9.48           0.087       0.081       0.136     
128        128             1536              1000      0.090       1.42        17.06          0.101       0.090       0.187     
256        256             3072              1000      0.110       2.33        27.92          0.116       0.110       0.176     
512        512             6144              1000      0.148       3.46        41.51          0.156       0.148       0.162     
1024       1024            12288             1000      0.226       4.52        54.27          0.231       0.226       0.273     
2048       2048            24576             1000      0.399       5.13        61.56          8.873       0.381       0.586     
4096       4096            49152             1000      0.704       5.82        69.80          0.742       0.686       1.440     
8192       8192            98304             1000      1.633       5.02        60.20          1.734       1.580       2.449     
16384      16384           196608            1000      3.256       5.03        60.37          3.550       3.219       5.661     
32768      32768           393216            1000      7.450       4.40        52.78          14.990      7.130       11.107    
65536      65536           786432            1000      15.494      4.23        50.76          24.624      15.082      22.917    
131072     131072          1572864           1000      35.465      3.70        44.35          44.176      33.537      46.291    
262144     262144          3145728           1000      73.037      3.59        43.07          89.160      69.888      97.415    
524288     524288          6291456           1000      161.843     3.24        38.87          234.881     148.521     234.893   
1048576    1048576         12582912          1000      371.487     2.82        33.87          538.327     347.584     493.537   

