the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.528       0.00        0.02           0.940       0.460       0.680     
2          2               24                1000      0.538       0.00        0.04           0.920       0.460       0.940     
4          4               48                1000      0.536       0.01        0.09           0.840       0.460       0.840     
8          8               96                1000      0.538       0.01        0.18           1.080       0.460       1.160     
16         16              192               1000      0.558       0.03        0.34           0.740       0.500       0.960     
32         32              384               1000      0.588       0.05        0.65           1.020       0.520       1.640     
64         64              768               1000      0.653       0.10        1.18           1.340       0.580       1.060     
128        128             1536              1000      0.758       0.17        2.03           8.640       0.680       0.980     
256        256             3072              1000      0.980       0.26        3.13           8.620       0.900       1.500     
512        512             6144              1000      1.433       0.36        4.29           1.920       1.340       1.860     
1024       1024            12288             1000      2.270       0.45        5.41           3.140       2.180       3.020     
2048       2048            24576             1000      4.026       0.51        6.10           12.400      3.920       5.760     
4096       4096            49152             1000      7.523       0.54        6.53           16.320      7.400       10.720    
8192       8192            98304             1000      14.357      0.57        6.85           22.720      14.220      17.160    
16384      16384           196608            1000      29.356      0.56        6.70           43.140      27.900      32.680    
32768      32768           393216            1000      57.051      0.57        6.89           86.920      55.440      71.460    
65536      65536           786432            1000      124.454     0.53        6.32           166.540     119.500     147.180   
131072     131072          1572864           1000      296.744     0.44        5.30           319.580     288.480     277.600   
262144     262144          3145728           1000      576.607     0.45        5.46           599.160     566.200     546.600   
524288     524288          6291456           1000      1069.282    0.49        5.88           1122.280    1054.880    1050.220  
1048576    1048576         12582912          1000      2031.924    0.52        6.19           2108.080    2011.320    2445.060  

