the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.270       0.00        0.04           0.364       0.266       0.961     
2          2               24                1000      0.274       0.01        0.09           0.514       0.272       0.539     
4          4               48                1000      0.277       0.01        0.17           0.543       0.276       0.799     
8          8               96                1000      0.284       0.03        0.34           0.550       0.282       0.754     
16         16              192               1000      0.299       0.05        0.64           0.676       0.296       0.566     
32         32              384               1000      0.329       0.10        1.17           0.518       0.326       0.930     
64         64              768               1000      0.391       0.16        1.97           0.536       0.387       1.017     
128        128             1536              1000      0.521       0.25        2.95           0.899       0.517       1.218     
256        256             3072              1000      0.799       0.32        3.84           0.953       0.779       1.131     
512        512             6144              1000      1.337       0.38        4.60           1.608       1.331       2.159     
1024       1024            12288             1000      2.385       0.43        5.15           2.847       2.378       3.045     
2048       2048            24576             1000      4.486       0.46        5.48           5.039       4.474       5.187     
4096       4096            49152             1000      8.761       0.47        5.61           9.759       8.689       9.679     
8192       8192            98304             1000      17.558      0.47        5.60           22.663      17.161      20.976    
16384      16384           196608            1000      34.475      0.48        5.70           40.986      33.944      35.796    
32768      32768           393216            1000      70.720      0.46        5.56           79.893      69.312      74.429    
65536      65536           786432            1000      138.164     0.47        5.69           147.577     136.942     139.319   
131072     131072          1572864           1000      272.906     0.48        5.76           281.956     271.572     273.551   
262144     262144          3145728           1000      541.600     0.48        5.81           551.644     539.989     541.981   
524288     524288          6291456           1000      1077.934    0.49        5.84           1087.669    1076.427    1077.047  
1048576    1048576         12582912          1000      2150.817    0.49        5.85           2160.587    2147.892    2148.806  

