the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.288       0.00        0.04           0.533       0.277       1.812     
2          2               24                1000      0.290       0.01        0.08           0.534       0.275       1.239     
4          4               48                1000      0.296       0.01        0.16           0.448       0.286       1.844     
8          8               96                1000      0.294       0.03        0.33           1.274       0.280       1.219     
16         16              192               1000      0.307       0.05        0.63           1.353       0.294       1.608     
32         32              384               1000      0.322       0.10        1.19           1.081       0.307       2.028     
64         64              768               1000      0.349       0.18        2.20           0.601       0.337       1.919     
128        128             1536              1000      0.447       0.29        3.44           1.393       0.413       1.931     
256        256             3072              1000      0.577       0.44        5.33           1.273       0.556       2.267     
512        512             6144              1000      0.906       0.56        6.78           1.881       0.868       2.265     
1024       1024            12288             1000      1.466       0.70        8.38           4.066       1.448       3.243     
2048       2048            24576             1000      2.684       0.76        9.16           4.626       2.618       4.675     
4096       4096            49152             1000      6.278       0.65        7.83           13.312      5.253       10.543    
8192       8192            98304             1000      18.812      0.44        5.23           27.609      16.048      29.098    
16384      16384           196608            1000      35.536      0.46        5.53           47.490      32.872      41.502    
32768      32768           393216            1000      52.881      0.62        7.44           60.312      49.282      56.778    
65536      65536           786432            1000      90.564      0.72        8.68           137.115     87.738      92.074    
131072     131072          1572864           1000      166.270     0.79        9.46           210.507     163.033     177.072   
262144     262144          3145728           1000      351.049     0.75        8.96           420.587     337.075     359.218   
524288     524288          6291456           1000      743.641     0.71        8.46           827.116     720.916     737.064   
1048576    1048576         12582912          1000      1705.979    0.61        7.38           1734.848    1686.451    1679.565  

