the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.077       0.03        0.10           0.103       0.076       0.507     
2          4               16                1000      0.077       0.05        0.21           0.088       0.076       0.126     
4          8               32                1000      0.076       0.11        0.42           0.107       0.076       0.487     
8          16              64                1000      0.077       0.21        0.83           0.102       0.076       0.460     
16         32              128               1000      0.078       0.41        1.64           0.105       0.078       0.134     
32         64              256               1000      0.082       0.78        3.14           0.100       0.081       0.326     
64         128             512               1000      0.086       1.49        5.95           0.096       0.086       0.332     
128        256             1024              1000      0.094       2.72        10.89          0.109       0.094       0.180     
256        512             2048              1000      0.110       4.65        18.61          0.119       0.110       0.413     
512        1024            4096              1000      0.143       7.14        28.56          0.154       0.142       0.317     
1024       2048            8192              1000      0.210       9.76        39.04          0.215       0.208       0.472     
2048       4096            16384             1000      0.381       10.76       43.02          0.388       0.374       0.530     
4096       8192            32768             1000      0.654       12.54       50.14          0.706       0.611       1.150     
8192       16384           65536             1000      1.321       12.40       49.61          1.396       1.260       2.405     
16384      32768           131072            1000      2.838       11.55       46.19          2.879       2.787       4.274     
32768      65536           262144            1000      5.549       11.81       47.24          14.243      5.460       9.304     
65536      131072          524288            1000      11.267      11.63       46.53          24.426      11.106      20.428    
131072     262144          1048576           1000      30.203      8.68        34.72          62.597      28.499      43.057    
262144     524288          2097152           1000      63.982      8.19        32.78          86.654      60.717      84.993    
524288     1048576         4194304           1000      135.601     7.73        30.93          207.346     126.489     183.480   
1048576    2097152         8388608           1000      303.537     6.91        27.64          460.031     284.442     402.562   

