the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.499       0.00        0.02           0.800       0.440       0.800     
2          2               24                1000      0.504       0.00        0.05           0.740       0.440       0.780     
4          4               48                1000      0.505       0.01        0.09           0.920       0.440       1.040     
8          8               96                1000      0.520       0.02        0.18           9.520       0.460       0.780     
16         16              192               1000      0.526       0.03        0.37           0.840       0.480       0.800     
32         32              384               1000      0.555       0.06        0.69           0.740       0.500       1.380     
64         64              768               1000      0.623       0.10        1.23           0.780       0.580       0.920     
128        128             1536              1000      0.722       0.18        2.13           1.140       0.680       1.320     
256        256             3072              1000      0.934       0.27        3.29           1.360       0.880       1.760     
512        512             6144              1000      1.381       0.37        4.45           2.000       1.320       2.260     
1024       1024            12288             1000      2.264       0.45        5.43           2.820       2.200       3.380     
2048       2048            24576             1000      4.009       0.51        6.13           11.840      3.940       5.220     
4096       4096            49152             1000      7.438       0.55        6.61           10.660      7.360       10.080    
8192       8192            98304             1000      14.382      0.57        6.84           23.260      14.260      19.780    
16384      16384           196608            1000      28.322      0.58        6.94           36.460      28.080      44.440    
32768      32768           393216            1000      57.091      0.57        6.89           89.580      55.840      97.700    
65536      65536           786432            1000      180.305     0.36        4.36           211.500     166.860     174.620   
131072     131072          1572864           1000      387.435     0.34        4.06           440.700     376.220     400.000   
262144     262144          3145728           1000      740.394     0.35        4.25           990.240     728.100     722.200   
524288     524288          6291456           1000      1471.771    0.36        4.27           1989.380    1443.500    1492.860  
1048576    1048576         12582912          1000      2310.479    0.45        5.45           2801.920    2244.000    2277.640  

