the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.082       0.02        0.10           0.109       0.076       0.143     
2          4               16                1000      0.082       0.05        0.20           0.106       0.078       0.236     
4          8               32                1000      0.082       0.10        0.39           0.132       0.078       0.160     
8          16              64                1000      0.085       0.19        0.75           0.314       0.079       0.145     
16         32              128               1000      0.085       0.38        1.50           0.097       0.082       0.438     
32         64              256               1000      0.086       0.74        2.97           0.110       0.081       0.214     
64         128             512               1000      0.088       1.46        5.83           0.137       0.084       0.176     
128        256             1024              1000      0.096       2.67        10.69          0.315       0.092       0.215     
256        512             2048              1000      0.117       4.37        17.48          0.383       0.112       0.222     
512        1024            4096              1000      0.166       6.16        24.66          0.426       0.153       0.290     
1024       2048            8192              1000      0.228       8.98        35.93          0.276       0.216       0.337     
2048       4096            16384             1000      0.393       10.42       41.68          0.612       0.372       0.772     
4096       8192            32768             1000      0.759       10.79       43.15          1.072       0.741       1.071     
8192       16384           65536             1000      1.520       10.78       43.13          1.643       1.455       2.203     
16384      32768           131072            1000      4.027       8.14        32.55          1101.991    2.752       4.256     
32768      65536           262144            1000      7.797       8.41        33.62          1639.677    6.004       8.921     
65536      131072          524288            1000      14.731      8.90        35.59          748.382     13.668      18.790    
131072     262144          1048576           1000      30.774      8.52        34.07          705.690     29.604      38.936    
262144     524288          2097152           1000      60.265      8.70        34.80          146.215     59.256      76.291    
524288     1048576         4194304           1000      133.689     7.84        31.37          286.155     125.942     172.298   
1048576    2097152         8388608           1000      364.118     5.76        23.04          416.943     356.983     381.177   

