the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.052       0.02        0.15           0.060       0.040       0.120     
2          2               16                1000      0.053       0.04        0.30           0.060       0.040       0.280     
4          4               32                1000      0.055       0.07        0.58           0.060       0.040       0.120     
8          8               64                1000      0.056       0.14        1.15           0.080       0.040       0.080     
16         16              128               1000      0.060       0.27        2.13           0.080       0.060       0.220     
32         32              256               1000      0.064       0.50        4.00           0.080       0.060       0.380     
64         64              512               1000      0.086       0.74        5.95           0.100       0.080       0.140     
128        128             1024              1000      0.116       1.11        8.86           0.140       0.100       0.180     
256        256             2048              1000      0.173       1.48        11.84          0.180       0.160       0.380     
512        512             4096              1000      0.293       1.75        14.00          0.320       0.280       0.560     
1024       1024            8192              1000      0.534       1.92        15.33          0.580       0.520       1.260     
2048       2048            16384             1000      1.025       2.00        15.99          18.420      1.000       2.700     
4096       4096            32768             1000      1.959       2.09        16.73          12.000      1.940       4.600     
8192       8192            65536             1000      4.055       2.02        16.16          19.540      3.940       10.200    
16384      16384           131072            1000      8.106       2.02        16.17          19.480      8.020       31.860    
32768      32768           262144            1000      146.009     0.22        1.80           1138.360    16.680      36.260    
65536      65536           524288            1000      841.168     0.08        0.62           2367.200    29.180      74.820    
131072     131072          1048576           1000      851.897     0.15        1.23           3943.960    55.620      159.060   
262144     262144          2097152           1000      624.570     0.42        3.36           6919.540    124.600     333.100   
524288     524288          4194304           1000      1015.987    0.52        4.13           10439.820   428.100     649.600   
1048576    1048576         8388608           1000      1961.454    0.53        4.28           4975.500    1217.140    1400.880  

