the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.083       0.01        0.10           0.100       0.080       0.320     
2          2               16                1000      0.115       0.02        0.14           18.340      0.080       0.520     
4          4               32                1000      0.075       0.05        0.43           0.080       0.060       0.460     
8          8               64                1000      0.091       0.09        0.70           0.100       0.080       0.420     
16         16              128               1000      0.126       0.13        1.02           0.140       0.120       0.380     
32         32              256               1000      0.188       0.17        1.36           0.200       0.180       0.220     
64         64              512               1000      0.326       0.20        1.57           11.080      0.300       0.560     
128        128             1024              1000      0.570       0.22        1.80           0.600       0.560       0.760     
256        256             2048              1000      1.101       0.23        1.86           11.920      1.080       1.320     
512        512             4096              1000      2.103       0.24        1.95           2.140       2.080       2.520     
1024       1024            8192              1000      4.190       0.24        1.96           14.700      4.140       4.300     
2048       2048            16384             1000      8.209       0.25        2.00           17.920      8.140       8.340     
4096       4096            32768             1000      16.343      0.25        2.01           26.260      16.240      16.760    
8192       8192            65536             1000      33.458      0.24        1.96           44.280      33.120      34.540    
16384      16384           131072            1000      65.709      0.25        1.99           88.460      65.180      67.840    
32768      32768           262144            1000      131.355     0.25        2.00           147.200     130.220     142.720   
65536      65536           524288            1000      262.129     0.25        2.00           280.500     260.460     278.980   
131072     131072          1048576           1000      524.405     0.25        2.00           564.900     521.060     543.420   
262144     262144          2097152           1000      1053.193    0.25        1.99           1689.980    1043.480    1088.740  
524288     524288          4194304           1000      2200.905    0.24        1.91           2303.160    2122.240    2469.760  
1048576    1048576         8388608           1000      4347.698    0.24        1.93           6610.240    4303.580    4943.900  

