the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.112       0.01        0.11           0.200       0.040       0.080     
2          2               24                1000      0.124       0.02        0.19           0.280       0.040       0.260     
4          4               48                1000      0.128       0.03        0.38           0.340       0.060       0.520     
8          8               96                1000      0.157       0.05        0.61           0.300       0.080       0.140     
16         16              192               1000      0.140       0.11        1.37           0.240       0.080       0.300     
32         32              384               1000      0.159       0.20        2.41           0.220       0.120       0.180     
64         64              768               1000      0.234       0.27        3.29           0.380       0.220       0.580     
128        128             1536              1000      0.389       0.33        3.95           0.480       0.360       0.800     
256        256             3072              1000      0.712       0.36        4.32           0.960       0.680       1.000     
512        512             6144              1000      1.363       0.38        4.51           7.400       1.340       2.160     
1024       1024            12288             1000      2.659       0.39        4.62           2.820       2.620       2.900     
2048       2048            24576             1000      5.233       0.39        4.70           11.180      5.200       5.780     
4096       4096            49152             1000      10.401      0.39        4.73           22.320      10.320      14.280    
8192       8192            98304             1000      20.683      0.40        4.75           27.180      20.560      26.080    
16384      16384           196608            1000      41.255      0.40        4.77           60.160      41.040      65.900    
32768      32768           393216            1000      82.650      0.40        4.76           156.500     82.000      88.460    
65536      65536           786432            1000      220.125     0.30        3.57           359.660     203.380     181.440   
131072     131072          1572864           1000      350.492     0.37        4.49           371.540     343.660     345.920   
262144     262144          3145728           1000      781.483     0.34        4.03           815.740     767.380     772.280   
524288     524288          6291456           1000      1531.496    0.34        4.11           1584.300    1510.500    1527.500  
1048576    1048576         12582912          1000      3427.720    0.31        3.67           3513.880    3374.280    3484.840  

