the current thread cpu affinity is 0x2, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.091       0.01        0.09           0.095       0.091       0.783     
2          2               16                1000      0.100       0.02        0.16           0.107       0.099       0.467     
4          4               32                1000      0.086       0.05        0.37           0.106       0.086       0.375     
8          8               64                1000      0.092       0.09        0.70           0.101       0.091       0.136     
16         16              128               1000      0.106       0.15        1.21           0.116       0.106       0.147     
32         32              256               1000      0.138       0.23        1.85           0.145       0.138       0.185     
64         64              512               1000      0.197       0.32        2.60           0.204       0.196       0.241     
128        128             1024              1000      0.326       0.39        3.14           0.341       0.324       0.508     
256        256             2048              1000      0.572       0.45        3.58           0.579       0.568       0.610     
512        512             4096              1000      1.062       0.48        3.86           1.073       1.052       1.108     
1024       1024            8192              1000      2.008       0.51        4.08           2.029       1.991       2.143     
2048       2048            16384             1000      4.019       0.51        4.08           4.043       4.000       4.200     
4096       4096            32768             1000      8.004       0.51        4.09           63.361      7.870       8.280     
8192       8192            65536             1000      15.899      0.52        4.12           21.655      15.860      16.232    
16384      16384           131072            1000      31.659      0.52        4.14           58.870      31.512      32.037    
32768      32768           262144            1000      61.735      0.53        4.25           68.973      61.512      62.180    
65536      65536           524288            1000      123.357     0.53        4.25           130.586     122.944     123.707   
131072     131072          1048576           1000      253.401     0.52        4.14           261.653     252.986     272.276   
262144     262144          2097152           1000      504.591     0.52        4.16           517.103     504.314     542.139   
524288     524288          4194304           1000      1002.900    0.52        4.18           1068.635    983.089     1074.930  
1048576    1048576         8388608           1000      2026.318    0.52        4.14           2057.069    2024.904    2204.896  

