the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.173       0.01        0.05           0.440       0.060       0.220     
2          4               16                1000      0.177       0.02        0.09           0.640       0.100       0.900     
4          8               32                1000      0.177       0.05        0.18           0.320       0.080       0.320     
8          16              64                1000      0.185       0.09        0.35           0.740       0.100       0.880     
16         32              128               1000      0.177       0.18        0.72           0.500       0.060       0.520     
32         64              256               1000      0.180       0.36        1.42           0.380       0.120       0.560     
64         128             512               1000      0.183       0.70        2.79           0.300       0.100       0.220     
128        256             1024              1000      0.196       1.31        5.24           0.260       0.100       0.500     
256        512             2048              1000      0.243       2.11        8.43           0.580       0.180       0.440     
512        1024            4096              1000      0.343       2.99        11.95          0.480       0.260       0.960     
1024       2048            8192              1000      0.553       3.70        14.82          0.800       0.480       1.320     
2048       4096            16384             1000      0.980       4.18        16.72          2.220       0.840       3.240     
4096       8192            32768             1000      1.822       4.50        17.99          3.040       1.740       6.100     
8192       16384           65536             1000      3.411       4.80        19.21          4.740       3.300       12.720    
16384      32768           131072            1000      6.740       4.86        19.45          60.880      6.460       29.960    
32768      65536           262144            1000      19.874      3.30        13.19          116.880     13.660      72.160    
65536      131072          524288            1000      28.923      4.53        18.13          85.740      26.020      98.940    
131072     262144          1048576           1000      167.939     1.56        6.24           207.620     156.300     192.420   
262144     524288          2097152           1000      390.677     1.34        5.37           468.920     382.120     382.020   
524288     1048576         4194304           1000      691.893     1.52        6.06           833.700     679.900     667.620   
1048576    2097152         8388608           1000      1302.820    1.61        6.44           1572.220    1281.960    1305.140  

