the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.231       0.01        0.03           0.463       0.219       0.723     
2          4               16                1000      0.228       0.02        0.07           0.360       0.216       0.525     
4          8               32                1000      0.230       0.03        0.14           0.369       0.218       0.441     
8          16              64                1000      0.233       0.07        0.27           0.303       0.221       0.490     
16         32              128               1000      0.241       0.13        0.53           0.304       0.230       0.349     
32         64              256               1000      0.255       0.25        1.00           0.468       0.244       0.492     
64         128             512               1000      0.283       0.45        1.81           0.506       0.273       0.435     
128        256             1024              1000      0.342       0.75        3.00           0.395       0.331       0.499     
256        512             2048              1000      0.460       1.11        4.45           0.809       0.447       0.645     
512        1024            4096              1000      0.710       1.44        5.77           1.019       0.689       0.858     
1024       2048            8192              1000      1.176       1.74        6.97           1.543       1.155       1.314     
2048       4096            16384             1000      2.143       1.91        7.65           2.602       2.086       2.370     
4096       8192            32768             1000      4.185       1.96        7.83           4.690       3.955       4.192     
8192       16384           65536             1000      7.907       2.07        8.29           14.525      7.683       8.205     
16384      32768           131072            1000      15.716      2.09        8.34           24.320      15.301      17.271    
32768      65536           262144            1000      30.185      2.17        8.68           42.242      30.070      31.210    
65536      131072          524288            1000      60.105      2.18        8.72           67.756      59.903      61.289    
131072     262144          1048576           1000      119.686     2.19        8.76           129.869     119.445     120.855   
262144     524288          2097152           1000      238.910     2.19        8.78           250.376     238.614     239.285   
524288     1048576         4194304           1000      477.672     2.20        8.78           489.825     477.039     479.607   
1048576    2097152         8388608           1000      955.461     2.19        8.78           971.250     954.148     968.069   

