the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.079       0.03        0.10           0.152       0.076       0.904     
2          4               16                1000      0.078       0.05        0.21           0.109       0.077       0.176     
4          8               32                1000      0.078       0.10        0.41           0.385       0.076       0.776     
8          16              64                1000      0.078       0.21        0.82           0.316       0.076       0.523     
16         32              128               1000      0.079       0.41        1.62           0.307       0.078       0.732     
32         64              256               1000      0.081       0.79        3.15           0.338       0.080       0.439     
64         128             512               1000      0.086       1.48        5.93           0.446       0.085       0.612     
128        256             1024              1000      0.094       2.71        10.85          0.365       0.093       0.559     
256        512             2048              1000      0.113       4.51        18.06          0.427       0.108       1.004     
512        1024            4096              1000      0.152       6.75        27.00          0.384       0.145       0.740     
1024       2048            8192              1000      0.265       7.72        30.89          0.607       0.245       2.439     
2048       4096            16384             1000      0.403       10.16       40.65          1.558       0.382       1.575     
4096       8192            32768             1000      0.803       10.20       40.81          15.825      0.760       3.697     
8192       16384           65536             1000      1.767       9.27        37.08          4.517       1.490       5.140     
16384      32768           131072            1000      5.732       5.72        22.87          1573.090    3.453       11.145    
32768      65536           262144            1000      16.287      4.02        16.10          26.555      10.737      23.153    
65536      131072          524288            1000      40.133      3.27        13.06          753.934     35.407      45.976    
131072     262144          1048576           1000      86.853      3.02        12.07          267.751     83.277      94.301    
262144     524288          2097152           1000      179.250     2.92        11.70          295.306     176.491     185.084   
524288     1048576         4194304           1000      367.830     2.85        11.40          418.967     364.785     391.729   
1048576    2097152         8388608           1000      753.488     2.78        11.13          794.763     747.425     836.811   

