the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.052       0.02        0.23           0.080       0.040       0.520     
2          2               24                1000      0.055       0.04        0.44           0.060       0.040       0.320     
4          4               48                1000      0.064       0.06        0.75           0.080       0.060       0.140     
8          8               96                1000      0.065       0.12        1.48           0.100       0.060       0.120     
16         16              192               1000      0.074       0.22        2.59           0.100       0.060       0.160     
32         32              384               1000      0.090       0.35        4.26           0.120       0.080       0.180     
64         64              768               1000      0.122       0.52        6.30           0.160       0.120       0.240     
128        128             1536              1000      0.186       0.69        8.25           0.220       0.180       0.400     
256        256             3072              1000      0.387       0.66        7.93           0.400       0.380       1.240     
512        512             6144              1000      0.588       0.87        10.44          8.800       0.560       2.080     
1024       1024            12288             1000      1.247       0.82        9.85           9.960       1.220       3.440     
2048       2048            24576             1000      2.864       0.72        8.58           12.200      2.800       7.820     
4096       4096            49152             1000      5.969       0.69        8.23           24.360      5.800       18.640    
8192       8192            98304             1000      11.992      0.68        8.20           22.580      11.640      30.060    
16384      16384           196608            1000      21.742      0.75        9.04           39.300      20.920      77.140    
32768      32768           393216            1000      47.530      0.69        8.27           116.980     45.280      168.160   
65536      65536           786432            1000      146.520     0.45        5.37           438.220     126.040     361.920   
131072     131072          1572864           1000      580.508     0.23        2.71           722.160     559.300     669.940   
262144     262144          3145728           1000      1478.490    0.18        2.13           1543.100    1462.280    1389.900  
524288     524288          6291456           1000      3504.226    0.15        1.80           3807.840    3479.780    3371.560  
1048576    1048576         12582912          1000      5787.277    0.18        2.17           6422.400    5686.880    5762.780  

