the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.078       0.01        0.15           0.096       0.078       0.471     
2          2               24                1000      0.080       0.02        0.30           0.087       0.080       0.458     
4          4               48                1000      0.080       0.05        0.60           0.081       0.080       0.512     
8          8               96                1000      0.081       0.10        1.19           0.081       0.081       0.500     
16         16              192               1000      0.080       0.20        2.40           0.089       0.080       0.387     
32         32              384               1000      0.082       0.39        4.68           0.091       0.081       0.128     
64         64              768               1000      0.086       0.74        8.93           0.102       0.086       0.347     
128        128             1536              1000      0.097       1.32        15.83          0.117       0.096       0.430     
256        256             3072              1000      0.119       2.16        25.88          0.125       0.118       0.260     
512        512             6144              1000      0.162       3.16        37.92          0.168       0.162       0.523     
1024       1024            12288             1000      0.250       4.10        49.15          0.257       0.249       0.296     
2048       2048            24576             1000      0.425       4.82        57.80          0.431       0.424       0.593     
4096       4096            49152             1000      0.774       5.29        63.48          0.797       0.774       1.510     
8192       8192            98304             1000      1.684       4.87        58.38          1.733       1.638       2.671     
16384      16384           196608            1000      3.227       5.08        60.92          3.420       3.152       5.432     
32768      32768           393216            1000      7.619       4.30        51.61          16.696      7.429       11.351    
65536      65536           786432            1000      17.590      3.73        44.71          30.879      16.336      27.233    
131072     131072          1572864           1000      46.234      2.83        34.02          59.572      41.145      56.623    
262144     262144          3145728           1000      86.492      3.03        36.37          110.818     82.197      101.005   
524288     524288          6291456           1000      231.702     2.26        27.15          288.791     223.409     240.092   
1048576    1048576         12582912          1000      409.760     2.56        30.71          574.625     385.497     495.035   

