the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.096       0.01        0.08           0.200       0.040       0.100     
2          2               16                1000      0.104       0.02        0.15           0.220       0.040       0.540     
4          4               32                1000      0.097       0.04        0.33           0.240       0.040       0.220     
8          8               64                1000      0.111       0.07        0.58           0.260       0.040       0.240     
16         16              128               1000      0.109       0.15        1.18           0.260       0.060       0.260     
32         32              256               1000      0.100       0.32        2.56           0.260       0.060       0.280     
64         64              512               1000      0.109       0.59        4.71           0.380       0.100       0.400     
128        128             1024              1000      0.117       1.09        8.76           0.360       0.100       0.340     
256        256             2048              1000      0.155       1.65        13.22          0.320       0.140       0.520     
512        512             4096              1000      0.231       2.22        17.75          0.360       0.220       0.700     
1024       1024            8192              1000      0.392       2.61        20.88          0.800       0.360       0.900     
2048       2048            16384             1000      0.897       2.28        18.26          1.520       0.840       1.800     
4096       4096            32768             1000      1.883       2.18        17.40          2.300       1.820       3.320     
8192       8192            65536             1000      3.696       2.22        17.73          11.000      3.600       7.120     
16384      16384           131072            1000      7.085       2.31        18.50          15.200      6.920       19.420    
32768      32768           262144            1000      13.977      2.34        18.76          31.320      13.560      37.600    
65536      65536           524288            1000      28.315      2.31        18.52          71.480      26.240      80.800    
131072     131072          1048576           1000      125.217     1.05        8.37           147.780     105.300     119.900   
262144     262144          2097152           1000      274.233     0.96        7.65           300.740     265.100     243.860   
524288     524288          4194304           1000      516.732     1.01        8.12           577.580     503.340     510.540   
1048576    1048576         8388608           1000      991.669     1.06        8.46           1063.400    961.760     985.360   

