the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.117       0.02        0.07           0.177       0.109       0.459     
2          4               16                1000      0.118       0.03        0.14           0.263       0.110       0.144     
4          8               32                1000      0.116       0.07        0.28           0.171       0.110       0.243     
8          16              64                1000      0.115       0.14        0.56           0.159       0.109       0.187     
16         32              128               1000      0.116       0.28        1.11           0.168       0.109       0.205     
32         64              256               1000      0.114       0.56        2.24           0.251       0.111       0.137     
64         128             512               1000      0.118       1.09        4.35           0.167       0.115       0.247     
128        256             1024              1000      0.124       2.07        8.28           0.435       0.122       0.300     
256        512             2048              1000      0.138       3.70        14.79          0.340       0.132       0.311     
512        1024            4096              1000      0.181       5.67        22.69          0.248       0.174       0.378     
1024       2048            8192              1000      0.278       7.36        29.45          0.425       0.255       0.442     
2048       4096            16384             1000      0.436       9.40        37.60          0.963       0.403       1.087     
4096       8192            32768             1000      0.821       9.98        39.91          1.453       0.771       1.191     
8192       16384           65536             1000      1.931       8.48        33.93          2.804       1.646       4.191     
16384      32768           131072            1000      4.648       7.05        28.20          15.142      3.914       9.466     
32768      65536           262144            1000      15.492      4.23        16.92          24.192      9.605       23.068    
65536      131072          524288            1000      40.997      3.20        12.79          49.793      37.708      43.230    
131072     262144          1048576           1000      88.417      2.96        11.86          98.035      85.553      94.686    
262144     524288          2097152           1000      180.389     2.91        11.63          193.599     178.580     185.009   
524288     1048576         4194304           1000      367.880     2.85        11.40          387.298     365.690     383.023   
1048576    2097152         8388608           1000      765.660     2.74        10.96          783.498     756.895     780.778   

